,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
11,PCT/US2012/037041,WO2012/154799,05-09-2012,Herbal composition for treating cancer ,Sheng yu-Hwa peter,Individual,United states," Sheng,Yu-Hwa Peter",United states,Composition of the raw materials used ,Oraly administered ,"Catharantus roseus and Sedum sarmentosum,Scutellaria barbata, Oldenandia diffusa, Rhizoma paridis, Scutellaria baicalensis, Ganoderma lucidum, Astragalus membranceus, Codonopsis pilosula, and Bulbus fritillariae",Cancer,N,31.08.2016,15.11.2012,"A61K 36/24 , A61K 36/539 ,A61K 36/074  ,A61K 36/481 ,A61K 36/344 , A61K 36/748, A61K 36/11 , A61K 36/17 ,A61K 36/41  ,A61P 35/00 "
12,PCT/KR2011/010294,WO2012/124888,29-12-2011,Composition comprising the extract of herbal combination for preventing or treating Diabetic peripheral neuropathy ,"Dong-A ST Co., Ltd.

",Company,Korea," Kim , Soon-Hoe, SON, Mi-Won, CHOI, Sang-Zin, KIM, Hye-Ju, RYU, Ja-Young, KIM, Sun-Yeou
",Korea,Health functional foods preventive and curative of diabetic peripheral neuropathy.,"Powder, a granule, a tablet, a capsule, a syrup and a beverage.", Dioscorea Rhizoma : Dioscorea nipponica,Diabetic peripheral neuropathy.,Y,20.04.2016,20.09.2012,"A61K 36/8945 , A61P 25/28 ,A61P 25/16"
13,PCT/MX2012/000026,WO2012/125013,03-09-2012,Herbal polypharmaceutical for preventing and treating atherosclerosis ,"Castaneda Miranda, José Arturo",Individual,Mexico,"Castañeda Miranda, José Arturo",Mexico,Preventing the complication of atherosclerosis,"Tablets, pills, capsules, pills, granules, beads","Hippocratea excelsa,Gentiana",Atherosclesoris,N,-,15.01.2014,"A61K 36/515 , A61K 36/37 ,A61P 9/10 "
14,PCT/IN2012/000155,WO2012/127498,03-05-2012,A novel Herbal composition for treatment of Kiney stone and other urinary tract disorders ,"Patankar, Suresh Balkrishna

",Individual,India," Patankar, Suresh Balkrishna
",India,Therapeutic effect,"Composition is administered through oral, nasal, topical (including buccal and sublingual), vaginal or parenteral (including subcutanous, intramuscular, intravenous, intradermal, intrathecal, intraocular and epidural) and rectal administration in form of herbal composition is in the form of capsules, cachets, tablets, powder, suspension, emulsion or paste and also in other pharmaceutically accepted forms.","Vrun bhavit, Kadalikshar, Apamargkshar, Yavkshar and optionally Gomutraksha",Kidney stone and other urinary tract disorders,N,19.04.2017,27.09.2012,"A61P 3/02 , A61K 36/185 ,A61K 36/88 , A61K 36/8998 ,A61K 36/21"
15,12173200,EP000002676669A1,22-06-2012,Composition for treating wound healing,"Biologische Heilmittel Heel GmbH


",Company,Germany,"Burmeister, Yvonne, Seilheimer, Bernd.",Germany,Synergistic effect ,"Preferably, oral application, e.g. in the form of tablets, solution or drinking ampules, is envisaged or topical application in gel form or application via injection.","Aranea diadematus, Calcium phosphoricum, Equisetum hiemale, Ferrum jodatum, Fumaria officinalis, Gentiana lutea, Geranium robertianum, Levothyroxinum, Myosotis arvensis, Nasturtium officinale, Natrium sulfuricum, Pinus silvestris, Sarsaparillae radix, Scrophularia nodosa, Teucrium scorodonia, and Veronica officinalis",Wound healing,Y,-,25.12.2013,"A61K 36/185 , A61K 36/50 ,A61K 36/515 , A61K 36/11 ,A61K 36/30 , A61K 36/15 ,A61K 36/90 , A61K 36/56 ,A61K 36/52 , A61P 17/02"
16,12173196,EP000002676668A1,22-06-2012,"Composition for treating lymphedema
"," Biologische Heilmittel Heel GmbH


",Company,Germany,"Burmeister, Yvonne, Seilheimer, Bernd.
",Germany,Therapeutic effect," The pharmaceutical carrier employed may include a solid, a gel, or a liquid","Aranea diadematus , Equisetum hiemale ,ex herba, Ferrum jodatum , Fumaria officinalis , Gentiana lutea , Geranium robertianum , Levothyroxinum , Myosotis arvensis, Nasturtium officinale , Natrium sulfuricum , Pinus silve, Sarsaparillae radix , Scrophularia nodosa , Teucrium scorodonia  and  Veronica officinalis ",Lymphedema,Y,-,25.12.2013,"A61K 36/185 , A61K 36/50 ,A61K 36/80 , A61K 36/515 ,A61K 36/11, A61K 36/31 ,A61K 36/15 , A61K 36/56 ,A61K 36/30 , A61K 36/52 ,A61K 36/90 , A61K 36/808,A61P 7/10 "
17,PCT/IN2012/000116,WO2012/123962,17-02-2012,Herbal composition for use in the treatment of Wounds ,"Patankar, Suresh Balkrishna

",Individual,India,"Patankar, Suresh Balkrishna",India,Synergistic and therapeutic effect,Gel-based formulations ,"Curcuma longa, Glycyrrhiza glabara, Hamiltonia suaveolens, Typha angustifolia and Azadirachta indica",Wounds ,N,03.05.2017,20.09.2012,"A61P 17/02 , A61K 36/185 ,A61K 36/484 , A61K 36/58 ,A61K 36/9066 , A61K 36/38"
18,PCT/KR2012/000650,WO2012/102581,30-01-2012,Composition for preventing or treating a Respiratory disease containing a Mixed Herbal extract of Cnidium Officinale root and Polygoni Cuspidati root ," Whanin Pharmaceutical Co., Ltd.


",Company,Korea,"Cho , Yong Baik,KANG, Moon Kyu, JUNG, In Ho, HUR, Jong Hyun, KIM, Soon Han, JUNG, Kyoung Chul, LEE, Je Young, KIM, Seul Ki, LEE, Jee Young, YU, Byung Chul, HYON, Min-Kyong
",Korea,Has anti-inflammatory effect,Raw materials are formulated into extract,Cnidium officinale  (Cnidii Rhizoma) and Polygoni cuspidati  (Polygoni cuspidati Radix),Respiratory diseases ,Y,-,02.08.2012,"A61K 36/234 , A61K 36/704 ,A61P 11/06 , A61P 11/00 "
19,"PCT/IL2011/050081
",WO2012/090205,28-12-2011,Plant extracts for the treatment and prevention of Infections ," Kamedis Ltd, Bio-FD & C. Co., Ltd.

",Company,"Israel, Korea "," Rozenblat , Sharon, JUNG, DaiHyun, MOH, SangHyun, KIM, SuJung, LEE, JungHun
","Israel, Korea ",Composition of the raw materials used ," Cream, a gel, a spray, a lotion, an ointment, an oil, a wash, a shampoo, a soap and a spray.","Ilanthus altissima plant extract, a Galla rhois gallnut plant extract, a Glycyrrhiza Glabra plant extract, a Rheum palmatum plant extract and a Scutellaria baicalensis ", Infections ,Y,26.07.2017,05.07.2012,"A61P 31/00  ,A61K 36/484,A61K 36/539 , A61K 36/708,A61K 36/739 , A61K 36/185,A61K 36/28 "
20,13172175.5,EP000002638807A1,16-10-2008,Beverage compositions,"Ganeden Biotech, Inc.

",Company,United states,"Farmer, Sean
",United states,"Non toxigenic in nature, no side effects.","Composition is formulated into  coffee, hot chocolate, hot cocoa, or a cold remedy.",Camellia sinensis,Gastrointestinal tract function,Y,-,18.09.2013,A23F 3/14 
21,13155531,EP000002594278B1,20-07-2007,"Film, patch or adhesive solid formulation comprising Sambucus nigra, Centella asiatica and
1-alkylpyridinium salt for the treatment of mucosal tissue."," Izun Pharmaceuticals Corporation


",Company,United states,"Levine, William, Zev, Saffer, Aron , Loewy, Zvi, 
","Israel,United States ",Effective in treating and various other conditions in mouth,"The dosage form is patch , film consisting raw materials ","Sambucus nigra, Centella asiatica",Mucosal tissue,Y,07.09.2016,22.05.2013,"A61K 36/23 ,A61K 36/28 ,A61K 36/35 , A61K 9/70 ,A61Q 11/00 , A61K 9/00 ,A61L 24/00 , A61L 15/44 ,A61K 8/49 , A61K 8/97 "
22,13155531,EP000002594278A1,20-07-2007,"Film, patch or adhesive solid formulation comprising Sambucus nigra, Centella asiatica and
1-alkylpyridinium salt for the treatment of mucosal tissue"," Izun Pharmaceuticals Corporation


",Company,United states," Levine, William, Zev, Saffer, Aron , Loewy, Zvi, 
","Israel,United States ",Effective in treating and various other conditions in mouth,"The dosage form is patch , film consisting raw materials ","Sambucus nigra, Centella asiatica",Mucosal tissue,Y,-,22.05.2013,"A61K 36/23 , A61K 36/28 ,A61K 36/35 , A61K 9/70 ,A61Q 11/00 , A61K 9/00 ,A61L 24/00 , A61L 15/44 ,A61K 8/49 , A61K 8/97 "
23,12006962,EP000002578222A1,10-08-2012,Plant extract composition," Lanwehr, Christoph Alexander Bernhard


",Individual,Germany," Lanwehr, Christoph Alexander Bernhard, Parlar, Harun
",Germany,"Obtaining spumate composition ,preparation of cosmetic composition",Lotions or in the form of more viscous emulsions (creams).,"Rosemary (Rosmarinus officinalis), Hypericum perforatum (St John's wort), chili peppers, Zingiber officinale (ginger),Humulus lupulus Citrus sinensis,carrots (Daucus carota subsp. Sativus),Zingiberaceae Curcuminoide such as curcuma, potato plants (Solanum tuberosum), Kava-Kava,coffee beans, sesame (Sesamum indicum), black pepper (Piper nigrum), Aloe vera, onions (allium cepa), bitter almonds ( Prunus dulcis).",Artifical tanning,Y,-,10.04.2013,A61K 36/53 
24,PCT/CN2010/000508,WO2011/123997,15-04-2010,Traditional chinese medicine composition for treating Gastric ucler and preparation method thereof ," Tongling Weixin Investment & Consulting Co., Ltd

 ",Company,China ," Zhang , Baoyu Anhui",China,Composition of the raw materials used ,Orally administered gum arabic suspension," Radix Scutellariae  Radix Lamiophlomidis Rotatae extract, Radix Achyranthis Bidentatae extract, Fructus Crataegi extract,  Fructus Lycii extract,  Fructus Punicae Granati extract,  Fructus Piperis extract,  Radix Ribis Manschurici extract,  Fructus Piperis Longi extract,  Cortex Magnoliae Officinalis",Gastric ulcer,Y,-,13.10.2011,"A61K 36/815 , A61K 36/734,A61K 36/67 , A61K 36/575 ,A61K 36/539 , A61K 36/53 ,A61K 36/21 , A61K 36/185 ,A61P 1/04 , A61K 125/00 ,A61K 129/00 , A61K 131/00 "
25,12178807.9,EP000002545931A1,14-03-2005,Herbal therapy for the treatment of food allergy," Herbs Spring, LLC



",Company,United States," Li, Xiu-Min Mamaroneck, Sampson, Hugh
",United States ,"Reduce severity , duration of food allergy","A pharmaceutically acceptable carrier, adjuvant, or vehicle.","Ling-Zhi, Wu Mei, Chuan Jiao, Huang Lian, Huang Bai, Gan Jiang, Gui Zhi, Ren Shen, and Dang Gui.",Food allergy,Y,-,16.01.2013,"A61K 36/185 , A61K 36/232,A61K 36/074 , A61K 36/736 ,A61K 36/258 , A61K 36/9068 ,A61K 36/54 , A61K 36/756 ,A61K 36/758 , A61K 36/718,A61P 37/08"
26,PCT/IL2011/000221,WO2011/111039,03-08-2011,Herbal composition for preventing and\or treating Anxiety and retaled condition ," Opmop Ltd, Kately, Nadav



",Company,Israel," Doron , Ravid, KATELY, Nadav",Israel,Effectively treating the disease,"Tablet, a capsule, a liquid, syrup, tincture, powder, and raw herbs decoction.","Hawthorn  (Shan Zha), light wheat grain (Fu xiao mai( and Lilly Bulb",Anxiety ,Y,16.11.2016,15.09.2011,"A61K 36/899 , A61K 36/734 ,A61K 36/8967 , A61P 25/22 "
27," 11195369.1
",EP000002532353A1,14-03-2005,Herbal therapy for the treatment of asthma," Herbs Spring, LLC



",Company,United States," Li, Xiu-Min, Sampson, Hugh A, Wen, Ming-Chun","United States, China",Composition of the raw materials used ,"Pharmaceutically acceptable carrier, adjuvant, or vehicle.","Ling-Zhi, Ku-Shen and Gan-Cao.",Asthma,Y,-,12.12.2012,"A61K 35/00, A61K 45/06,A61K 36/484,A61K 36/074,A61K 36/489"
28,11166772.1,EP000002524696A1,19-05-2011,Alcohol-free pharmaceutical composition comprising thyme and primula root liquid extracts,"A.Nattermann & Cie. GmbH



",Company,Germany,"Holzstein, Werner, Weissenfeld, Jörn, Hoffmann, Verena",Germany,Contains alcohol free composition,Liquid extraction,Thyme and primula,"Cough,bronchitis",Y,-,21.11.2012,"A61K 36/185, A61K 36/53"
29,11166389.4,EP000002524695A1,17-05-2011,Herbal solid formulation and process for preparing the same," Himalaya Global Holdings Limited


",Company,United Arab Emirates," Mitra, Shankar Kumar, Babu, Uddagiri Venkanna, Saxena, Ekta, Sharma, Anu Vrat
",India,Preparation and uses,"Granules, tablet or capsule.","Andrographis paniculata, Terminalia arjuna, Azadirachta indica, Trikatu (Zingiber officinalis, Piper longum, Piper nigrum), Tinospora cordifolia, Ocimum sanctum, Withania somnifera, Zingiber officinale, Commiphora mukul or Allium sativum",Dyspepsia,Y,-,21.11.2012,"A61K 36/185, A61K 36/58,A61K 36/19, A61K 36/67,A61K 36/8962, A61K 36/9068,A61K 36/59, A61K 36/53"
30,PCT/IB2010/002504,WO2011/039629,22-09-2010,"Bioactive fraction of Petiveria alliacea,pharmaceutical composition containing same, and combination with immunostimulants for treating cancer "," Pontificia Universidad Javeriana


",Research Organisation,Colombia," Florentino gomez , Susana, CIFUENTES BARRETO, Maria Claudia, HERNANDEZ MONTAÑO, John, Fredy, SANTANDER GONZALEZ, Sandra, Paola, URUEÑA PINZON, Claudia, Patricia, CASTAÑEDA UVAJOA, Diana Mercedes
",Colombia,Composition of the raw materials used ,Bioactive fraction,Petivería alliacea,Cancer,Y,-,07.04.2011,"A61K 36/185 , A61P 35/00 "
31,PCT/IB2010/003482,WO2011/080593 ,30-12-2010,Material and method for prevention and treatment of Viral Infection ," BAGI Research Limited, Versitech Limited



",Company,China,"Lau, Allan, Sik-Yin, YANG, Lai, Hung, Cindy, LAW, Anna, Hing-Yee",China,Preventing the disease,Oral administration of prodrug, Fructus fυrsythiae,Viral infection.,Y,22.11.2017,07.07.2011,"A61K 31/7048 , A61K 31/7032 ,A61K 31/215 , A61K 31/192 ,A61K 36/899 , A61K 36/634 ,A61K 36/538  A61K 36/534 ,A61K 36/484 , A61K 36/48 ,A61K 36/35 , A61K 36/34 ,A61K 36/28 , A61P 31/16 "
32,PCT/KR2010/000107,WO2011/055881,01-07-2010,Composition for preventing and treating Influenza-Virus-Induced diseases ," Korea Institute of Oriental Medicine



",Research Organisation,Korea,"Ma, Jin Yeul, UM, Young Ran, LEE, Ji Hye",Korea,"Safe for humans, and can be used to prevent, treat, and alleviate symptoms of diseases induced by various strains of influenza viruses.","Oral, rectal or intravenous, intramuscular, subcutaneous, can be administered by intrauterine dura mater injection, or in brain blood vessels","Angelica, peony, yeongyo, bakhayeop, ephedra, Glauber's salt, rhubarb, gypsum, gilgyeong golden baekchul, sanchija, mold opening, ginger,  licorice, EK, honeysuckle",Influenza viruses.,Y,17.12.2014,12.05.2011,"A61K 36/234 ,A61P 31/16 ,A61K 36/238 , A23L 1/30 ,A61K 36/232  ,A61K 36/65 ,A61K 36/634  ,A61K 36/534,A61K 36/17, A61K 36/28 ,A61K 36/708 , A61K 36/346 ,
A61K 36/539 , A61K 36/284 ,A61K 36/744 , A61K 36/538 ,A61K 36/9068 , A61K 36/484 ,A61K 36/296, A61K 36/355 ,A61K 36/69"
33,PCT/KR2010/000107,WO2011/055881,01-07-2010,Composition for preventing and treating Influenza-Virus-Induced diseases ," Korea Institute of Oriental Medicine



",Research Organisation,Korea,"Ma, Jin Yeul,UM, Young Ran, LEE, Ji Hye",Korea,"Safe for humans, and can be used to prevent, treat, and alleviate symptoms of diseases induced by various strains of influenza viruses.","Oral, rectal or intravenous, intramuscular, subcutaneous, can be administered by intrauterine dura mater injection, or in brain blood vessels","Angelica, peony, yeongyo, bakhayeop, ephedra, Glauber's salt, rhubarb, gypsum, gilgyeong golden baekchul, sanchija, mold opening, ginger,  licorice, EK, honeysuckle",Influenza viruses.,Y,-,12.05.2011,"A61K 36/234 ,A61P 31/16,A61K 36/238 ,A23L 1/30"
34,12164322.5,EP000002491938A1,23-12-2005,Formulations for well-being," Dolphst Pty Ltd

",Company,Australia," Phillips, Jon Noosa Heads",Australia,Effective formulation for well being,Powder," Polygonum multiflorum, Panax quinquefolium, Gingko biloba, and Equisetum arvense",Human health and well-being,Y,-,29.08.2012,"A61K 36/258, A61K 36/16,A61K 36/00, A61K 36/704,A61P 39/00"
35,12161057,EP000002491936B1,30-06-2005,Composition and method for the treatment of asthma symptoms," Azmazin Inc.

",Company,"United States ,Malaysia"," Baek, Sung H.
",United States ,Effective and simple and easy to use.,Oral administration of prodrug,"Platycodi Radix, Poria Cocos, Ligustici Wallichii Rhizoma, Auranti Fructus, Bupleuri Radix, Peucedani Radix, Menthe Herba, Schizonepetae Herba, Sileris Radix, Forsythia Fructus, Ginseng Radix, Notoptergii Rhizoma et Radix, Angelicae Pubescentis Radix, Glycyrrhizae Radix, Zingiberis Recens Rhizoma, Angelicae Radix, Trichosanthis Radix, Atractylodis Alba Rhizoma, Fritillariae Bulbus, Scutellariae Radix, Rhei Rhizoma et Radix, Citri Reticulatae Percarpium, and Massa Medicata Fermentata",Asthma,Y,24.06.2015,29.08.2012,A61K 36/00 
36,11154314.6,EP000002486932A1,14-02-2011,Herb extract for cognitive health benefit," Unilever N.V.

 ",Company,Netherlands,The designation of the inventor has not yet been filed,-,"Synergistic expression of neuritis, with significantly lower toxicity.",Ingesting a daily dose of 50 mg to 2 g of the combination.,Terminalia chebula and Terminalia bellerica,Cognitive function ,Y,-,15.08.2012,"A61K 36/185, A61P 25/00"
37,12162723.6,EP000002484345B1,11-03-2006, Herbal composition for weight management," InQpharm Group Sdn Bhd



",Company,Malaysia," Samuel, Philip, Pescatore, Fred","India,United States","Reducing type 2 diabetes, hypertension and coronary heart disease","The herbal composition is administered between 30 and 60 minutes before a meal, or between 2 hours and 30 minutes before one or more meals within a day.","Garcinia extract, Green tea extract, Green coffee extract and Banaba extract",Body weight,Y,26.02.2014,08.08.2012,"A61K 9/20  ,A61K 36/38 ,A61K 36/185,  A61K 36/82 ,A61K 36/74 "
38,PCT/CN2011/000545,WO2011/160420,30-03-2011,Green Milk," Xu, Xinyue Hangzhou
",Individual,China," Xu, Xinyue,Hangzhou",China,Composition of the raw materials used ,The composition of raw materials are added to milk and orally taken,"Large grass powder barley, wheat , barley , buckwheat , black , barley, oat , wild oat flour",Anti-cancer,N,-,29.12.2011,A23C 9/152
39,12164197.1,EP000002481389B1,20-12-2005,"Formulations and treatments for trichology
"," Dolphst Pty Ltd

 
",Company,Australia," Phillips, Jon",Australia,Composition of the raw materials used ,Powder, Polygonum multiflorum;- an extract from Gingko biloba;- an extract from Equisetum arvense;- an extract from Panax quinquefolium;,Alopecia.,Y,04.05.2016,01.08.2012,A61K 6/00 
40,PCT/CN2009/073664,WO2011/026267,09-01-2009,"Anthiphlogistic,Antioncotic and Analgesic chinese herbal composition preparative method and usage thereof "," Uni-president Biotech Co., Ltd.



",Company,China," Wu Tianshung, CHOU, Tai-ting",China,"Antiphlogistic,antioncotic,analgesic composition","Herbal creams to ointments, aqueous gel and a cream","Rhizoma Bletillae, Cortex Cinnamomi, Radix Angelicae Formosanae, Radix Angelicae Sinensis, Radix Paeoniae Rubra, Rhizoma Notopterygii, Radix Linderae, Radix Glycyrrhizae, Radix Angelicae Pubescentis and Radix Et Rhizoma Rhei",Anti-inflammatory swelling and pain,Y,05.11.2014,11.07.2012,"A61K 36/9068 , A61K 36/898,A61K 36/71  ,A61K 36/708 ,A61K 36/54  ,A61K 36/484 ,A61K 36/328  ,A61K 36/324 ,A61K 36/237 , A61K 36/232 ,A61K 31/7048 , A61K 31/704 ,
A61K 31/37 , A61K 31/366 ,A61K 31/19 , A61K 31/12 ,A61K 31/11 , A61K 9/06 ,A61K 9/107 , A61K 9/12 ,A61P 29/00 "
