,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Country/Research Organization/Company,Country of Owner,Inventors,Unnamed: 9,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
11,2004251496,W005/000280,2004-06-28 00:00:00,Dosage form comprising an exine coating of sporopollenin or derivatized sporopollenin,University of Hull,Research Organisation,U.K,"MacKenzie, Grahame ; Beckett, Stephen Thomas ; Atkin, Stephen Lawrence",-,The invention consists of a pharmaceutical or dietary dosage form comprising an effective quantity of an active substance  which is chemically or physically bound to a support comprising sporopollenin,"The exine coating of spores, i.e., sporopollenin or any other similar exine coating is derived from plants or fungi",-,-,Y,2009.10.01,2005.01.06,A61K9/20
12,2004231327,W004/093571,2004-04-22 00:00:00,"Edible product with masked bitter, sour and/or astringent taste",Raisio Benecol OY,Company,Finland,"Honkanen, Anniina ; Lahtinen, Ritva ; Kuusisto, Paivi ; Koponen, Leena",-,"Edible products containing plant sterol ester for masking bitterness, sourness and/or astringent taste instead of sugar or other sweetening agents that are normally added for achieving the same results","The product comprises a sweetening agent and 0.2 to 25% plant sterol ester by weight, wherein the amount of sweetening agent is reduced as compared to a regular product",-,-,Y,2010.09.09,2004.11.04,A23C9/123
13,2003280504,W004/002238,2003-06-26 00:00:00,Nutritional composition for detoxification and cancer prevention,Nestec S.A.,Company,Switzerland,"Malnoe, Armand ; Offord Cavin, Elizabeth ; Cavin, Christophe",-,The invention provides nutritional compositions capable of reducing the risk of cancer in mammals,The nutritional compositions combine the added effects of both a prebiotic source and a phytochemical capable of inducing enzymatic activity in mammals to reduce cancer occurrence,Chicory plant,Cancer occurrence,Y,2009.11.19,2004.01.19,A61K36/28
14,2003253002,W004/016277,2003-08-14 00:00:00,Extraction of pharmaceutically active cannabinoids from plant materials,GW Pharma Limited,Company,U.K,"Whittle, Brian Anthony ; Hill, Colin A. ; Gibson, Peter ; Wheatley, Gary William ; Flockhart, Ian R. ; Downs, David Victor",-,The extraction of pharmaceutically active components from plant materials and their use in the preparation of a botanical drug substance (BDS) for incorporation into a medicament,The active components are obtained by extraction from Cannabisplant respectively,Cannabis sp.,-,Y,2009.11.26,2004.03.03,A61K31/352
15,2011100394,-,11.04.2011, Trichovedic SpaTherapy Anti Dandruff Shampoo,"Cook, John Mr",Individual,Australia,"Cook, John",-,Improved anti dandruff effect ,Shampoo formulation," Nettle extract, peppermint and a sage  extract",Dandruff,N,16.06.2011,2011-06-16 00:00:00,"A61K8/46,"
16,2011100393,-,11.04.2011, Trichovedic FSP," Cook, John Mr",Individual,Australia," Cook, John",-,"No side effects or irritation ,progressively shorter and less vigorous , combination of ingredients provide delivery of the medicine ",Liquid formulation applied each day on the scalp for 6 month ," Kopexil and a Artemia plankton,vitis vinifera, Centella asiatica,Rosemary  salvia sage extract ,betula alba,tussilago frafara,serrulata,urtica,tea tree oil ",Androgenic hair loss,N,02.06.2011,02.06.2011," A61K31/505, "
17,2007257480,WO07/141807,05.06.2007, A synergistic herbal composition from Bacopa species for management of neurodegenerative disorders and a process of preparation thereof,"Agarwal, Amit",Individual,India," Agarwal, Amit",-,Provides a synergistic effect ,Liquid formulation ,Bacopa species -bocopa monnieri Linin,"Neurodegenerative disorders-ADHD,ADD(Attention deficit disorder )",N,11.11.2010,13.12.2007,A61K9/50
18,2005273544,WO06/018743,18.08.2005, Herbal compositions for the prevention or treatment of urinary incontinence and overactive bladder,H C L Manufacturers Pty Ltd,Company,Australia," Seipel, Tracey Anne",-,"The composition has therapeutic and prophylatic uses,benefical herbal composition","The oral dosage form is tablet,dry powder,capsule,caplet",C.nurvala and E.arvense,Urogenital system disorders,Y,10.02.2011,2006-02-23 00:00:00,"A61K36/00,"
19,2011100501,-,02.05.2011,Transfollicular Oxyfusion, Fravin Pty Ltd,Company,Australia," Francis, Peter Bryan",-, Used in pharmaceutical and cosmetic formulation.,"Cream, tincture, tea, infusion, homeopathic solution,medical drug, pharmaceutical formulation, cosmeceutical formulation, serum, libation and/or solution to the area of skin to be treated",Terrestrial and/or aquatic plant extract ,"Pilosebaceous  unit-Androgenic Alopecia, Alopecia, Telogen Effluvium, hair thinning,
senile hair greying, premature hair greying",Y,09.06.2011,2011-06-09 00:00:00,A61K36/00
20,2008203838,-,12.08.2008,"Heterocyclic compounds based on N6-substituted adenine, methods of their preparation, their use for preparation of drugs, cosmetic preparations and growth regulators, pharmaceutical preparations, cosmetic preparations and growth regulators containing these compounds",Ustav Experimentalni Botaniky Akademie Ved Ceske Republiky,Research Organisation," Czech Republic

","Popa, Igor ; Holub, Jan ; Dolezal, Karel ; Werbrouck, Stefaan ; Strnad, Miroslav ; Lenobel, Rene ; Zatloukal, Marek
",-,"The invention have various scope in pharmaceutical , costemic preparation and have various oral administration form for the patients ","Suitable routes for administration include oral, rectal, topical (including dermal,ocular, buccal and sublingual), vaginal and parenteral (including subcutaneous,intramuscular, ntravitreous, intravenous, intradermal, intrathecal and epidural). ","Amaranthus caudatu ,Rosa hybrida","Cancer, psoriasis, rheumatoid arthritis, lupus, type I diabetes,multiple sclerosis, restenosis, polycystic kidney disease, graft rejection, graft versus host disease and gout",Y,01.09.2011,04.09.2008,C07D473/00
21,2007276706,WO08/009061,19.07.2007,A spreadable food product and a manufacturing process therefor,Blue Ribbon Roasting Pty Ltd,Company,Australia," Rema, Gasiram ; Quail, Ken ; Yun, Hon",-,"Low allergenicity , good taste ,suitable for consumption of individual with  nut allergies ",Food product -peanut spread,Peanut,-,Y,12.08.2010,24.01.2008,A23L7/10
22,2007266668,WO07/138531,23.05.2007, Treatment of erectile dysfunction and libido enhancement, CSIR,Research Organisation,South Africa ,"Khorombi, Eric ; Maharaj, Vinesh Jaichand ; Fouche, Gerda",-,Pharmaceutical composition contains natural extract,Organic and aqueous extract,"Plants from family Geraniaceae,monsonia,M.angustifoilia",Erectile dysfunction,Y,30.06.2011,06.12.2007,A61K31/365
23,2006294412,WO07/033416,20.09.2006, Foodstuff processing,Simplot Australia Pty Limited,Company,Australia,"Curulli, Franca ; Mawson, Raymond Frank ; Suwanchewakorn, Prayouth ; Klingler, Mario",-," Yield product of greater textural crispness stability and hold-life post cooking, at high and ambient temperatures;",Food product in form of french fries , Potatoes,-,Y,21.07.2011,29.03.2007,A23l1/025
24,2006275891,WO07/016176,26.07.2006,SCF extract containing cardiac glycoside,Phoenix Biotechnology Inc.,Company,United States of America," Addington, Crandell ; Koleng, John J. ; Zhang, Feng",-,The composition can be used to treat a wide range of disorders that are therapeutically responsive to a cardiac glycoside.,Supercritical fluid extract into capsules,Nerium oleander,"Cancer,malignant neoplastic disease",Y,30.06.2011,08.02.2007,A61K36/18
25,2006246538,-,10.11.2006,Pet food compositions,"Geroscience, Inc;Mars, Incorporated",Company,United States of America," Hayek, Michael Griffin ; Massimino, Stefan Patrick ; Roth, George",-,"Good taste ,contains natural extract ","In form of biscuits,semi moist composition,dry composition etc","Avocado,alfalfa,fig,primrose",-,Y,07.04.2011,11.01.2011, A23K1/14
26,2006213760,WO06/086648,10.02.2006, Treatment for topical use alleviating or inhibiting joint pain or muscle pain or musculoskeletal pain in a mammal,"Scott, Donald E.",Individual,United States of America,"Scott, Donald E.",-,Have longer duration of action and inhibiting the pain,"Liquid extraction of raw material into liquid extract ,creams,ointement applied to pain site","Nettle plant,uritica dioica","Hemorrhoids,muscuskeletal pain,prostate pain",N,17.03.2011,17.08.2006,A01N25/34
27,2006212123,WO06/085013,13.02.2006, Use of silymarine and/or the constituents thereof as promoters of the pigmentation of the skin or hair, Greenpharma,Company,France," Bernard, Philippe ; Bernard, Francois-Xavier",-,These emulsions enjoy a good stability and effective therapeutic effect,"Nanocapsules and also be adsorbed on organic polymers powders, talcs, bentonites and other mineral supports",Sylibum.,"Regrowth of hair,anti-seborrheic treatment,",Y,17.02.2011,2006-08-17 00:00:00,A23L33/00 
28,2004289353,WO05/046669,05.11.2004, Treatment and prevention of liver disease associated with parenteral nutrition (PN), Children's Medical Center Corporation,Company,United States of America," Puder, Mark ; Gura, Kathleen M",-,Can prevent the disease and good treatment effect for all age patients ,The oral dosage in form of capsule,"Safflower , soybean",Liver disorders,Y,10.02.2011,26.05.2005,A61K9/107
29,2005232671,WO05/099762,06.04.2005,"Method for encapsulation of orally ingested materials to alter the site of digestion, site of action, or stability
",Kansas State University Research Foundation,Research Organisation,United States of America,"Drouillard, James S. ; Herald, Thomas J. ; Greenquist, Matthew",-,"Economically viable for use, cost effective",The oral dosage in form of capsule,"Wheat,soya",Resist immediate microbial digestion in stomtch,Y,17.03.2011,27.10.2005,A61K47/00
30,2005261970,WO06/005429,24.06.2005,"Methods for obtaining paclitaxel from Taxus plants
",Indena S.p.A.,Company,Italy,"Zini, Gianfranco ; Gabetta, Bruno",-,Effective in treating various disease,"The Crystals,in form of liquid media is obtained by grinding extracting using column chromatography the raw materials used","Pacific yew,european yew,asian yews(T.wallichiana  and T.chinensis )","Ovarian,breast and non smell cell lung cancer",Y,21.04.2011,19.01.2006,C07D305/14
31,2005270825,WO06/016357,09.08.2005,Food products for diabetics,Enzymotec Ltd.,Company,Israel,"Shulman, Avidor ; Cohen, Tzafra ; Pelled, Dori",-,"Low glucose or free glucose food product ,progress towards diabetic complication","The raw materials are formulated into food product-dairy products,desserts,pasta ,soup,soy milk,sauces,nutrition bars and cereals,chocolate products,candies,snacks","Garlic extract,soya,rosemary,statins","Diabetic patients,CVD",Y,07.07.2011,16.02.2006,A61P7/00
32,2005309652,WO06/058017,21.11.2005,Transmucosal oral delivery device, Izun Pharmaceuticals Corporation,Company,United States of America," Levine, William ; Saffer, Aron",-,"Effective  reduce,treat,prevent symptoms of diease",The extract is perodically applied to the mucosal layer of tissues,"Sambucus,nigra","Disease affected tissue like oral lesion,erythema",Y,12.05.2011,01.06.2006, A61K36/22
33,2007320987,W008/059213,09.11.2007,Garlic processing,ECOSpray Limited,Company,United kingdom,"Groom,Murree;block,eric",-,"Helps in producing antibodies , Good therapeutic effect",The extraction of polysulfides from garlic ,Garlic extract from genus Allium sativum L,Anti cancer,Y,01.09.2011,22.05.2008,C07C319/24
34,2008215743,WO08/099426,11.02.2008,A composition for selective serotonin reuptake inhibition and process thereof,Indus Biotech private limited,Company,India,"Vishwaraman,mohan;bhaskaram,sunil",-,"Have synergisic effect, medicine is forulated by natural sources",The raw material is  formulated into solvent extract undergoing HPLC process for obtaining the solvent,Cantella asiatica,Dipression,Y,07.10.2010,21.08.2008,A61K31/702
35,2007257480,WO07/141807,05.06.2007, A synergistic herbal composition from Bacopa species for management of neurodegenerative disorders and a process of preparation thereof,"Agarwal, Amit",Individual,India,"Agarwal, Amit",-,Provides a synergistic effect ,Liquid formulation,Bacopa species -bocopa monnieri Linin,"Neurodegenerative disorders-ADHD,ADD(Attention deficit disorder )",N,11.11.2010,13.12.2007,A1K9/50
36,2004270266,WO05/023023,08.09.2004,Concentrated antimicrobial composition and methods,3M Innovative properties company ,Company,United States of America,"Wang, danli;Andrews ,jeffrey F",-,"Scientific  in nature, good antimicrobial property",Liquid formulation,"Gum tragacanth,gum accacia,caragreen,guar gum,woodc rosin ",Food pathogens,Y,10.02.2011,17.03.2005,A23B4/20
37,2006253588,WO06/129508,22.05.2006,Fermented food containing bifidobacterium bacteria and method for producing the same,Kabushiki Kaisha Yakult Honsha,Company,Japan,"Ogaswara,Nobuhiro;hoshi,Ryotaro;Suzuki,Takao;Mizusawa,susumu,takao,akahoshi,ryoichi",-,"Does not alter the flavour ,have physiological effect",The materials are formulated into drink,"Bifidobacterium,tumeric,,rice bran,Houttuynia cordata",Improves intestinal environent and preventing cancer,Y,19.05.2011,07.12.2006,A23C9/12
38,2005287669,WO06/032374,08.09.2005,Color-modifying agents comprising moringa extract,Henkel Kommandigesellschaft auf Aktien,Company,Germany,"Kleen,astrict;Poppe,Elisabeth,Wolff,wolfgang;Akram,Mustafa;Weser,Gabreiele",-,"Used in cosmetic preparation,novelity lies in its composition of raw material",Hair dye,Moringa ,-,Y,16.09.2010,30.03.2006,A61Q5/06
39,2006311892,W007/056133,2006-03-11 00:00:00,Herbal composition for weight management,InQpharm Group Sdn. Bhd.       ,Company,Malasiya,"Philip Samuel ;Fred  Pescatore
",-,Composition and Uses,Oral Consumption,"Garcinia Cambogia,Green Tea,Green Coffe,Banana",Weight management,Y,21/06/2012,18/05/2007,A61K36/00
40,2006296197,W007/036900,28/09/2006,Herbal composition for inflammatory disorders,Piramal Enterprises Limited       ,Company,India,Asha Kulkarni-Almeida; Ashish Suthar ;Ashok Kumar Gangopadhyay ;Vijay Chauhan;Sapna Hasit Parikh;Swati Bal-Tembe;Dhananjay Sapre,-,Composition and Uses,Administration of Extract,Sphaeranthus indicus,Inflammatory disorders,Y,2012-09-08 00:00:00,2007-05-04 00:00:00,A61K36/28
41,2006296197,W007/036900,28/09/2006,Herbal composition for inflammatory disorders,Piramal Enterprises Limited       ,Company,India,Asha Kulkarni-Almeida; Ashish Suthar ;Ashok Kumar Gangopadhyay ;Vijay Chauhan;Sapna Hasit Parikh;Swati Bal-Tembe;Dhananjay Sapre,-,Composition and Uses,Administration of Extract,Sphaeranthus indicus,Inflammatory disorders,Y,2012-09-08 00:00:00,2007-05-04 00:00:00,A61K36/28
42,2013101201,Not available,2013-09-09 00:00:00,"Formulation for enhanced, rapid dosing of herbal medicines.
","Barrett, Leigh ",Individual,New Zealand,"Barrett, Leigh ",New Zealand,"A liquid herbal formulation intended for inhalation and/or buccal
dosage comprising one or more prepared herbs","Liquid herbal formulation intended for dosage delivery
via a constructed, powered personal inhalation device",-,-,N,2013-10-10 00:00:00,2013-10-10 00:00:00,A61K36/00 (2006.01)
43,2013101104,Not available,2013-08-19 00:00:00,"Herbal compositions and uses for symptomatic relief of cardiovascular diseases and helping maintain normal healthy cardiovascular and heart function
",Guorang Hu;G & W AUST PTY LTD;Wangcheng Hu ,Company,Australia,"Hu, Guorang;Hu, Wangcheng ",-,"Medicine effective for symptomatic relief of cardiovascular diseases,
supporting normal healthy cardiovascular and heart function, maintaining normal blood
pressure, enhancing general health in aging, assisting blood circulation, and offering anti
inflammatory and anti-oxidant effects in mammals",Oral herbal composition preparation method,"Panax ginseng,
Salvia miltiorrhiza,
Crataegus cuneata,
Ginkgo biloba,
Pueraria lobata,
Paeonia suffruticosa,
Paeonia lactiflora,
Epimedium sagittatum,
Fallopia japonica,
Ligusticum wallichii,
Gastrodia elata,
Uncaria sinensis,
Eucommia ulmoides,
Poria cocos,
Panax notoginseng,
Schisandra chinensis,
Ophiopogon japonicus,
Polygonatum sibiricum ",Cardiovascular diseases,Y,2013-12-09 00:00:00,2013-12-09 00:00:00,A61K36/00 (2006.01)
44,2013100366,Not available,2013-03-26 00:00:00,Therapeutic and/or Prophylactic Extract of Mahogany species , Bioactive Solutions Pty Ltd,Company,Australia," Ferdinands, Rick",-,"The extract comprises an effective
amount of saponins and tannins for dietary
supplements or pharmaceutical formulations for the treatment
or prevention of cancer and associated inflammation","Pharmaceutical or dietary
supplement composition",Meliacae,Cancer,Y,13/6/2013,13/6/2013,A61K36/58 (2006.01)
45,2009306492,WO10/046316 ,2009-10-16 00:00:00,"A topical composition comprising extracts of A. indica and M. charantia or S. indicum
", Unilever PLC,Company,United Kingdom,"Chakrabortty, Amit ; Dobriyal, Rajendra Mohan ; Iyer, Vidula ; Nair, Nirmala ; Vora, Shilpa",-,"A cosmetic composition for prevention, reduction or treatment of acne",Ayurvedic topical composition,"Azhadirachta indica, Momordica charantia, Sesamum indicum, Azhadirachta indica,
Momordica charantia, Azhadirachta indica,
Sesamum indicum ",Acne,Y,30/5/2013,29/4/2010,A61K36/185 (2006.01)
46,2007337744,W008/078203 ,20/2/2007,Herbal composition and process for its preparation , Piramal Enterprises Limited,Company,India,"Joshi, Kalpana Sanjay ; Wagh, Vilas ; Sharma, Somesh",-,"The
composition is adapted for the treatment of chronic
10 myeloid leukemia showing resistance to
treatment with imatinib",Various extraction processes, Piper betle,Chronic myeloid leukemia ,Y,1/08/2013,2008-03-07 00:00:00,A61K36/00 (2006.01)
47,2007201515,Not available,2007-04-05 00:00:00,Natural Herbal Assistance,"Mofrage, Heyam",Individual,Australia,"Mofrage, Heyam",-,"Herbal compositions and supplements for alleviating hormonal
imbalances and aiding in the relief of menstrual symptoms ",Various extraction processes,"Angelica
sinensis, Cimicifuga racemosa, Vitex agnus",Menstrual symptoms ,N,-,4/10/2007,"A61K45/06 (2006.01)
"
48,2006200036,Not available,2006-01-06 00:00:00,"Vitamin composition, methods and applications "," Blumberg, Michael Peter ",Individual,Australia," Ellis, Liam Patrick ; Blumberg, Michael Peter",-,"A composition comprising one or more vitamins
and one or more herbal extracts",Various extraction processes,"Lycii Fructus, Cnidii Rhizoma, Angelicae gigantis Radix,
Acanthopanacis Cortex, Cervi parvum Cornu, Cervi Cornu, royal jelly, honey, Radix
Codonopsis, Astragali Radix, Atractylodis Rhizoma, Dioscoreae Radix, Glycyrrhizae
30 Radix, Amomi Cardamomi Fructus, Zizyphi Fructus, Paeoniae Radix, Rehmanniae Radix
Preparata, Polygoni multiflori Radix, Adenophorae Radix, Liriopis Tuber, Asparagi
Tuber, Polygonati Rhizoma, Testudi plastrum, Morindae Radix, Epidedii Herba,
Eucommiae Cortex, Cibotii Rhizoma, Cordyceps, etc",-,Y,29/8/2013,26/7/2007,A61K31/51 (2006.01)
49,2011247864,Not available,2011-11-08 00:00:00,"A METHOD OF PREPARING A GLYCOSIDE OF A MONO- OR DIACYLGLYCEROL
PRODUCT FROM A PLANT MATERIAL ",Hyben Vital Licens ApS ,Company,Denmark," Kharazmi, Arsalan ; Brink, Thomas Nisgaard ; Madsen, Poul Hunniche ; Bagger, Christian Lorentz",-,"Use of glycosides of a mono- or
diacylglycerol for treatment of inflammatory diseases",Various extraction processes,"Rosa canina, Rosa gallica, Rosa condita,
Rosa rugosa, Rosa hugonis, Rosa nitida, Rosa pendulina, Rosa
pimpinellifolia, and Rosa sericea",Inflammatory diseases,Y,2013-06-06 00:00:00,2011-01-12 00:00:00,C07H1/08 (2006.01)
50,2011219481,Not available,2011-09-06 00:00:00,"A composition for treating AIDS and associated conditions
","Willfred-Ramix, Inc. ",Company,United States of America,"Boateng, Charles Antwi ; Asiedu, Frederick ; Ampim, Kofi ; Asiedu, William ; Appiah-Kubi, Kwasi ; Owusu, William ; Ware, Seth Opoku ; Adjei, Akwete Lex ; Doudu, Michael Nsiah ; Boateng, Debrah ; Ennin, Manny",-,"Patients with illnesses that, in retrospect, were manifestations of acquired immunodeficiency syndrome (AIDS) can be treated by this composition",Various extraction processes,"Apocynaceae; Annonaceae; Dichapetalaceae; Annoceae;
Cynocynaceae; Asclepiadaceae; Combretaceae; Amaranthaceae;
Aroceae; Cyperaceae; Anacardiaceae; Bignoniaceae; Bombacaceae; Caricaceae",AIDS,Y,20/9/2012,22/9/2011,A61K36/00 (2006.01)
51,2009247069,W009/139581 ,2009-05-14 00:00:00,"Antioxidant, anti-inflammatory, or anti-aging composition containing a plant stem cell line derived from Taxus cambium or procambium as an active ingredient
",WELLKEY HOLDINGS LIMITED ,Company,British Virgin islands,"Lee, Dae Hee ; Jin, Young Woo ; So, Eun Mi ; Lee, Eun Kyong",-,Use of antioxidents from stem cell extracts for anti ageing purposes,Lysating cell and extracting required compound,Taxus,"Ageing , Inflammation",Y,14/3/2013,19/11/2009, A61K36/13 (2006.01)
52,2008347299,W009/088854 ,2008-12-30 00:00:00,"Epoxy-guaiane derivatives and treatment of cancer
","The United States of America, as represented by the Secretary, Department of Health and Human Services",Research organisation,United States of America," Covell, David ; Johnson, Tanya R. ; Ratnayake, Ranjala ; Beutler, John A.",-,Use of phytochemicals for the treatment of cancer,"Solvent extraction and chromatography,", Phyllanthus engleri,Cancer,Y,2012-06-12 00:00:00,16/7/2009,C07D493/08 (2006.01)
53,2008336267,"WO2009/073930
",2008-12-12 00:00:00,Nutraceutical composition and methods of use ,DACY TECH PTY LTD ,Company,Australia,"Bright, Dan
",-,"Nutraceutical compositions extracts from a
plant capable of treating inflammation or inflammation associated disorders",Various extraction processes,Biota odentalis,"
Inflammation associated disorders and specifically to cartilage injury",Y,18/7/2013,18/6/2009,A61K36/14 (2006.01)
54,2007217003,W007/098471 ,2007-02-21 00:00:00,"Parthenolide free bioactive ingredients from feverfew (Tanacetum parthenium) and
processes for their production",ISP Investments Inc.,Company,United States of America,"Koganov, Michael
",-,"The bioactive fractions are either free of or
substantially free of a-unsaturated y-lactones (e.g., parthenolide) and have anti
inflammatory and antioxidant activity",Extraction using organic solvents,Tanacetum parthenium,Inflammation,Y,2013-04-04 00:00:00,30/8/2007 ,A61K36/28 (2006.01)
