,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
22,PCT/IN2002/000074,CA4/15/8552,2002-03-27 00:00:00,PREPARATION OF NUTRIENT RICH SALT OF PLANT ORIGIN,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research Organisation,India,"GHOSH, PUSHPITO KUMAR (India)
REDDY, MUPPALA PARANDHAMI (India)
PANDYA, JAYANT BATUKRAI (India)
PATOLIA, JINALAL SHAMBHUBHAI (India)
VAGHELA, SHAMBHUBHAI MOHANBHAI (India)
GANDHI, MAHESHKUMAR RAMANIKLAL (India)
SANGHVI, RAHUL JASWANTRAI (India)
KUMAR, VADDIPARTY GANGADHARA SRAVAN (India)
SHAH, MUKESH TRIBHOVANBHA",India,"The invention describes the preparation of nutrient-rich salt from high salt-
accumulating
and edible oil-bearing salt tolerant plants",_,_,_,N,2010-06-29 00:00:00,2003-09-27 00:00:00,
23,PCT/EP1998/002627,CA 2286614,1998-05-04 00:00:00,PLANT EXTRACTS FOR THE TREATMENT OF INCREASED BONE RESORPTION,UNIVERSITAT BERN,Company,Switzerland,"MUHLBAUER, ROMAN CONRAD ",Switzerland,"The present invention is concerned with nutritional or pharmaceutical 
compositions containing a plant extract or concentrate selected 
from the group consisting of allium, eruca, petroselinum and brassica extracts 
and concentrates or mixtures thereof","pharmaceutical 
compositions",_,"Paget's disease, tumor-induced bone disease or particularly 
osteoporosis.",Y,2010-02-09 00:00:00,1998-05-04 00:00:00,
24,PCT/JP2006/303708,CA 2584968,2006-02-28 00:00:00,DRUG AND FOOD OR DRINK FOR IMPROVING PANCREATIC FUNCTIONS,"MORINAGA MILK INDUSTRY CO., LTD",Company,Japan,"TANAKA, MIYUKI (Japan)
MISAWA, ERIKO (Japan)
HABARA, NORIKO (Japan)
YAMADA, MUNEO (Jap",japan,"3-O-.beta.-D-Glucopyranosyl-4-methyl-ergost-7-en-3-ol or a 
composition containing 0.001 to 10% by dry mass of the 
aforementioned compound, which is an extract of a plant of the 
family Liliaceae ",extraction from plant,liliacae plants," drug for improving 
pancreatic functions.

",N,2010-08-17 00:00:00,2006-11-23 00:00:00,
25,PCT/KR2003/000074,CA 2493277,2003-01-14 00:00:00,ANTIPYROTIC AND METHOD OF MANUFACTURING THE SAME,"NAM, JONG-HYUN (Republic of Korea)",Individual,Republic of Korea,"NAM, JONG-HYUN (Republic of Korea)",republic of korea,"The present invention relates to an antipyrotic having compositions excellent 
for treating burn and a normally used carrier in a fixed ratio, and a method 
of manufacturing the same",combusting selected pine cones,pine,"the present invention provides 
provide a cream or ointment type of antipyrotic that can easily treat with 
excellent treating power serious burn more than the second degree burn as well 
as slight burn that does not require special treatment by medical specialist",N,2010-03-16 00:00:00,2004-01-29 00:00:00,
26,PCT/BE2002/000137,CA 2456304,2002-08-19 00:00:00, NON-STARCH POLYSACCHARIDES,"CARGILL, INCORPORATED (United States of America)",Company,USA,"DELCOUR, JAN (Belgium)",belgium," invention relates to compositions of low molecular mass 
arabinoxylans for use as dietary supplements and to methods of improving 
growth performance and feed utilisation of animals","enzymatic 
depolymerisation or fragmentation",_,_,Y,2010-12-21 00:00:00,2003-02-27 00:00:00,
27,PCT/JP2006/318685,CA 2611086,2006-09-21 00:00:00,AGENT FOR INHIBITING VISCERAL FAT ACCUMULATION ,"MORINAGA MILK INDUSTRY CO., LTD.",Company,Japan,"TANAKA, MIYUKI;
MISAWA, ERIKO",Japan,To inhibit visceral fat accumulation,-,Liliaceae,-,Y,2011-06-21 00:00:00,2011-03-29 00:00:00,
28,PCT/JP2002/008319, CA 2457061,2002-08-16 00:00:00,TETRAZOYLOXIME DERIVATIVE AND AGRICULTURAL CHEMICAL CONTAINING THE SAME AS ACTIVE INGREDIENT ,"NIPPON SODA CO., LTD.",Company,Japan,"
    KOBORI, TAKEO;
    KONDO, HITOSHI;
    TSUBOI, HIROYUKI;
    AKIBA, KUMIKO;
    KOISO, AKIHIRO;
   OTAGURO, TSUNEYUKI;NAKAYAMI, HIDETOSHI
    HAMANO, HIROYUKI
    ONO, AKIRA;
    ASADA, TORU 
",Japan,"To prorovide a  tetrazoyloxime derivative less
likely
to cause chemical injury to useful plants",-,-,-,Y,2011-03-08 00:00:00,2003-02-27 00:00:00,
29,PCT/AU2001/000678,CA 2411726,2001-06-07 00:00:00,USE OF INGENANES IN TREATING A PKC-RELATED CONDITION OR DISORDER ,LEO LABORATORIES LIMITED,Company,Ireland,"AYLWARD, JAMES HARRISON;
PARSONS, PETER GORDON;
SUHRBIER, ANDREAS;
TURNER, KATHLEEN ANNE ",Australia,For use as chemical agent,Systemic administration, Euphorbiaceae ,PKC related condition,Y,2011-05-17 00:00:00,2001-12-13 00:00:00,
30,PCT/AU2001/000679, CA 2411642,2001-06-07 00:00:00,USE OF INGENANES FOR THE ACTIVATION OF LATENT VIRUS INFECTION ,LEO LABORATORIES LIMITED,Company,Ireland,"AYLWARD, JAMES HARRISON;
PARSONS, PETER GORDON;
SUHRBIER, ANDREAS;
TURNER, KATHLEEN ANNE ",Australia,For use as chemical agent,Systemic administration, Euphorbiaceae,Infection due to pathogenic entities,Y,2011-09-20 00:00:00,2001-12-13 00:00:00,
31,PCT/JP2007/067578,CA 2660284,2007-09-10 00:00:00,PLANT CULTIVATION SYSTEM ,"  

    MEBIOL INC.",Company,Japan,"OKAMOTO, AKIHIRO;
FUJII, MANABU;
YOSHIOKA, HIROSHI;
MORI, YUICHI ",Japan,"To producde safe and
high nutrition vegetables at low cost.
",-,-,-,Y,2011-08-16 00:00:00,2008-03-27 00:00:00,
32,PCT/EP2003/008837,CA 2495567,2003-08-08 00:00:00,AGENTS CONTAINING CARBOXYLIC ACID AND THE USE OF THE SAME IN PLANT CULTIVATION ,BASF AKTIENGESELLSCHAFT,Company,Germany,"KOBER, REINER;
PARG, ADOLF;
FRIES, JURGEN;
ZIEGLER, HANS ",Germany,For use as bioregulators,Composition dependent,-,-,Y,2011-11-15 00:00:00,2004-03-25 00:00:00,
33,PCT/AU2006/000951, CA 2614762,2006-07-11 00:00:00,CHELATING AGENTS FOR MICRONUTRIENT FERTILISERS,"
    ADELAIDE RESEARCH AND INNOVATION PTY LTD;
    COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION 
",Research Organisation,Australia,"MCLAUGHLIN, MIKE;
STACEY, SAMUEL;
LOMBI, ENZO ",Australia,To provide micronutrients to plant,Composition dependent,-,-,Y,2011-08-16 00:00:00,2007-01-18 00:00:00,
34,PCT/KR2006/002515, CA 2647135,2006-06-28 00:00:00,"NATURAL PLANT EXTRACT COMPOSITION FOR PREVENTION AND RECOVERY OF HYPERLIPIDEMIA AND STROKE, NATURAL TEA CONTAINING THE SAME AS ACTIVE INGREDIENT AND METHOD FOR PREPARING THE NATURAL TEA ","NAM, JONG HYUN",Individual,Republic of Korea,"NAM, JONG HYUN",Republic of Korea,For lowering of cholesterol,Composition dependent,Cassia tora;Albizzia julibrissin,Hyperlipidemia; Stroke,N,2011-08-16 00:00:00,2007-10-04 00:00:00,
35,-,CA 2702866,-,SEED PLANTS CHARACTERIZED BY DELAYED SEED DISPERSAL ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,Research Organisation,United States of America,"YANOFSKY, MARTIN F.;
FERRANDIZ, CRISTINA",United States of America,to delay seed dispersal in plant,Gene suppression,-,-,N,2011-08-16 00:00:00,-,
36,-, CA 2269105,-,ENVIRONMENTAL STRESS-TOLERANT PLANTS ,JAPAN INTERNATIONAL RESEARCH CENTER FOR AGRICULTURAL SCIENCES,Research Organisation,Japan,"SHINOZAKI, KAZUKO;
KASUGA, MIE",Japan,To produce environmental stress tolerant transgenic plant,-,-,-,Y,2011-01-04 00:00:00,-,
37,PCT/EP2000/004177,CA 2369428,2000-04-19 00:00:00,A METHOD OF TRANSFORMING PLANT MATERIAL IN ITS NATURAL PLANT ENVIRONMENT USING AGROBACTERIUM,BIOGEMMA S.A.S,Company,France,"RISACHER, THIERRY;
CRAZE, MELANIE",United Kingdom,Transformation method,Innoculation of target plant and regeneration,-,-,Y,2011-06-28 00:00:00,2000-10-26 00:00:00,
38,PCT/US2008/051926, CA 2676016,2008-01-24 00:00:00,FERTILIZER-POLYMER MIXTURES WHICH INHIBIT NITRIFICATION IN SOILS ,"VERDESIAN LIFE SCIENCES, LLC ",Company,United States of America,"SANDERS, JOHN LARRY;MAZO, GRIGORY;MAZO, JACOB",United States of America,To enhance plant uptake of ammonium and yields,Composition dependent,-,-,Y,2011-11-22 00:00:00,2008-07-31 00:00:00,
39,PCT/US2005/022086,CA 2571312,2005-06-21 00:00:00,SOLVENT BASED PLANT EXTRACTS,AVEDA CORPORATION,Company,United States of America,"MATRAVERS, PETER;
KAPSNER, TIMOTHY;SHAATH, NADIM A;HASHEM, ALAA;SHIOZAWA, KO-ICHI",United States of America;Egypt,"for producing petrochemical-free
aroma components",-,-,-,Y,2011-10-18 00:00:00,2006-01-05 00:00:00,
40,PCT/CA2000/000642,CA 2375535,2000-06-02 00:00:00,USE OF THE BNM3 TRANSCRIPTIONAL ACTIVATOR TO CONTROL PLANT EMBRYOGENESIS AND REGENERATION PROCESSES,"HER MAJESTY THE QUEEN IN RIGHT OF CANADA, AS REPRESENTED BY THE MINISTER OF AGRICULTURE AND AGRI-FOOD;
STICHTING WAGENINGEN RESEARCH",Company,Canada;Netherlands,"BOUTILIER, KIM;CUSTERS, JAN;
VAN LOOKEREN CAMPAGNE, MICHIEL;OUELLET, THERESE;
HATTORI, JIRO;
MIKI, BRIAN",Netherlands;Belgium;Canada,for modifying the regenerative capacity of a plant,Gene transfer,-,-,Y,2011-09-13 00:00:00,2000-12-14 00:00:00,
41,PCT/JP2006/306057, CA 2620766,2006-03-20 00:00:00,STRESS-INDUCED TRANSCRIPTION FACTOR DERIVED FROM MAIZE ,INCORPORATED ADMINISTRATIVE AGENCY;INTERNATIONAL RESEARCH CENTER FOR AGRICULTURAL SCIENCES,Company,Japan,"SHINOZAKI, KAZUKO;KAKIMOTO, MASAYUKI;QIN, FENG;SAKUMA, YOH;MARUYAMA,KYONOSHIN",Japan,For improved tolerance to stress in plants,Introducing recombinant vector,-,-,Y,2011-12-06 00:00:00,2011-03-22 00:00:00,
42,PCT/CA2001/000184,CA 2399966,2001-02-15 00:00:00,METHOD AND COMPOSITION FOR PROTECTING PLANTS FROM DISEASE,NORTHERN QUINOA CORPORATION,Company,Canada,"DUTCHESHEN, JOSEPH, M.;DANYLUK, THEODORE ANTHONY ",Canada,For protecting plants from diseases,Composition dependent, Quinoa; Quillaj,-,Y,2011-08-30 00:00:00,2001-08-23 00:00:00,
43,PCT/GB2000/001789,CA 2373071,2000-05-10 00:00:00,TAPETUM-SPECIFIC PROMOTERS ,BIOGEMMA UK LTD,Company,United Kingdom,"PAUL, WYATT;SCOTT, RODERICK JOHN;HIRD, DIANE;HODGE, RACHEL ",United Kingdom,for use in Artificial Male Sterility systems in plants, nucleic acid sequences encoding ,-,-,Y,2011-12-13 00:00:00,2000-11-16 00:00:00,
44,PCT/US2005/016038,CA 2563487,2005-05-05 00:00:00,PROCESSES FOR PREPARING PLANT MATTER EXTRACTS AND PET FOOD COMPOSITIONS ,"MARS, INCORPORATED",Company,United States of America,"MASSIMINO, STEFAN PATRICK;NIEHOFF, RAYMOND LOUIS;SARAMA, ROBERT JOSEPH;TRIBELHORN, RONALD EUGENE",United States of America,Extraction methods standardization,-,-,-,Y,2011-11-01 00:00:00,2005-11-24 00:00:00,
45,PCT/FI2003/000437, CA 2487588,2003-06-02 00:00:00,DRINK COMPOSITION AND A METHOD FOR COMPOSING A DRINK,"  

    FLOW DRINKS OY",Company,Finland,"LAEHTEENMAEKI, PERTTI",Finland,For constant energy supply and intensive concentration,Composition dependent,pine bark,-,Y,2011-09-27 00:00:00,2003-12-11 00:00:00,
46,PCT/JP2002/004474,CA 2444282,2002-05-08 00:00:00,PREPARATION FOR HAIR AND/OR SCALP,KANEKA CORPORATION,Company,Japan,"FUJII, KENJI;KAWABE, TAIZO;HOSOE, KAZUNORI;HIDAKA, TAKAYOSHI",Japan,For hair growth,Composition dependent,Ginger;capsicum;Sialid,-,Y,2011-11-15 00:00:00,2002-12-19 00:00:00,
47,PCT/US2000/002474,CA 2398747,2000-01-28 00:00:00,HERBAL SUPPLEMENT CONTAINING GALANTHAMINE FOR TREATING SYMPTOMS OF ESTROGEN-DEFICIENCY,"GROSE, TRICIA ",Company,United States of America,"GROSE, TRICIA",United States of America,"for treating symptoms of estrogen
deficiency ",Composition dependent,Leucojum aestivu; gingko biloba,Estrogen Deficiency Symptoms,N,2011-07-19 00:00:00,2001-08-02 00:00:00,
48,PCT/IB2002/005552, CA 2480330,2002-12-20 00:00:00,  COMPOSITION AND PROCESS FOR PREPARING HERBAL DISINFECTANTS AND THEIR USE,"COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,
DEPARTMENT OF BIOTECHNOLOGY",Research Organisation,India,"KHANUJA, SUMAN PREET SINGH;DAROKAR, MAHENDRA PANDURANG;SANTHAKUMAR, TIRUPADIRIPULIYUR RANGANATHAN;SHASANY, AJIT KUMAR;AGGRAWAL, KRISHNA KUMAR;AHMED, ATIQUE;CHATURVEDI, PUSHPALATA;GUPTA, VIVEK KUMAR;KRISHNA, ALOK;SINGH, ANIL KUMAR;BAHL, JANAK RAJ;BANSAL, RAVI PRAKASH;KUMAR, DINESH",India,For disinfecting skin,Composition dependent,Mentha spicata,-,Y,2011-05-03 00:00:00,2003-10-09 00:00:00,
49,PCT/KR2002/000010,CA 2447712,2002-01-04 00:00:00,HERBAL DRUG COMPOSITION FOR CARTILAGE PROTECTION ,"SK CHEMICALS CO., LTD.",Company,Republic of Korea,"HAN, CHANG-KYUN;KWAK, WIE-JONG;JOUNG, KI WON;YOO, HUN SEUNG;KUM, DO SEUNG;CHO, YONG-BAIK;RYU, KEUN HO;RHEE, HAE IN;KIM, TAEK SU;JUNG, IN HO;LEE, SO YOON;YI, JUNG BUM;KIM, JOO HYON;UM, KEY AN",Republic of Korea,For cartilage protection,Composition dependent,Clematis Radix; Trichosanthis Radix;Prunellae Spica,-,Y,2011-02-22 00:00:00,2002-11-28 00:00:00,
50,  PCT/US2003/040122, CA 2474608,2003-12-16 00:00:00,TOPICAL COMPOSITIONS COMPRISING A PLANT EXTRACT FOR SKIN IRRITATION OR IMPROVEMENT OF SKIN APPEARANCE ,"AVON PRODUCTS, INC.",Company,United States of America,"HINES, MICHELLE D.;LU, MICHELLE Z.;AGINSKY, JILL;DRYER, LAURENCE;PTCHELINTSEV, DMITRI S.;",China;United States of America,To alleviate skin irritation,Composition dependent," Ilex
purpurea Hassk; Osmunda japonica;Butea frondosa",-,Y,2011-08-30 00:00:00,2004-07-22 00:00:00,
51,  PCT/KR2007/006017,CA 2637349,2007-11-27 00:00:00,"FUNCTIONAL FOOD COMPOSITION FOR TREATING ALLERGY, NATURAL TEA USING THE SAME AND THE MANUFACTURING METHOD THEREOF ","NAM, JONG HYUN ",Individual,Republic of Korea,"NAM, JONG HYUN",Republic of Korea,Treatment of Allergy,-,"Poncirus trifoliata;Saururus chinensis;Schisandra chinensis;Plantago
asiatica",Allergy,N,2011-06-14 00:00:00,2008-06-12 00:00:00,
52,PCT/EP2003/014851, CA 2550863,2003-12-23 00:00:00,TOPICAL DEPIGMENTING FORMULATIONS COMPRISING AN EXTRACT OF BELLIS PERENNIS ,CLR CHEMISCHES LABORATORIUM DR. KURT RICHTER GMBH,Company,Germany,"JOHN, SABRINA",Germany,For cosmetic and pharmaceutical use,aqueous extraction,Bellis perennis L.,-,Y,2011-04-26 00:00:00,2005-07-14 00:00:00,
53,PCT/GB2003/004078,CA 2499492,2003-09-23 00:00:00,METHODS OF PREPARING CANNABINOIDS FROM PLANT MATERIAL ,GW PHARMA LIMITED,Company,Germany,"FLOCKHART, IAN;WHEATLEY, GARY WILLIAM;DRING, SU;ARCHER, LESLEY ",United Kindom,Extraction methods standardization,Chromatography,-,-,Y,2011-07-12 00:00:00,2004-04-01 00:00:00,
54,PCT/US2001/047273,CA 2431011,2001-12-03 00:00:00,COMPOSITIONS AND METHODS OF USE FOR EXTRACTS OF MAGNOLIACEAE PLANTS ,INTERHEALTH NUTRACEUTICALS INCORPORATED,Company,United States of America,"STOGNIEW, MARTIN;GARRISON, ROBERT JR.",United States of America,For treating sleeplessness,Composition dependent and pulverization,Magnoliaceae,Sleeplessness,Y,2011-06-21 00:00:00,2002-09-19 00:00:00,
55,PCT/GB1999/002256, CA 2337205,1999-07-13 00:00:00,TREATMENT OF SKIN DISORDERS,OREGON HEALTH & SCIENCE UNIVERSITY,Research Organisation,United States of America,"RAMAN, AMALA;LIN, ZHIXIU",United Kingdom,For use in medicament,-,-,Vitiligo,Y,2011-06-14 00:00:00,2000-01-20 00:00:00,
