,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Company/ResaerchOrganization/Individual,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
21,4406/CHENP/2010,283874,15-07-2010,A PROCESS FOR PRODUCING GAMMA MANGOSTIN,LAILA NUTRACEUTICALS,Company ,India,"GOKARAJU GANGA RAJU, SOMEPALLI VENKATESWARLU, BHUPATHIRAJU KIRAN, GOKARAJU RAMA RAJU, GOLAKOTI TRIMURTULU",India,Production,"Demethylation, purification","Garcinia mangostana, garcinia cowa, garcinia dulcis, garcinia fusa,garcinia speciosa",-,Y, 01/06/2017, 11/02/2011,
23,10387/DELNP/2008,283457,16-12-2008,A METHOD FOR PRODUCING A LEGUMINOUS TRANSGENIC PLANT,"MENDEL BIOTECHNOLOGY, INC., MONSANTO COMPANY",Company,U.S.A.,"ROBERT CREELMAN, OLIVER J. RATCLIFFE , NEAL I. GUTTERSON, LYNNE T. REUBER, ERIC R. CERNY, KIMBERLY FAYE ZOBERIST DUFF, SUSANNE KJEMTRUP- LOVELACE, ROBERT MEISTER, MARIE PETRACEK, THOMAS RUFF, QINGZHANG XU",U.S.A.,Genetic transformation,"Polypeptide, vectors introduction",-,,Y,22/05/2017 , 20/03/2009,
24,5031/CHENP/2011,283324,13-07-2011,METHOD FOR SHAPING AND DIMENSIONING OF PLANT MATERIAL CONTAINING CELLULOSE,BRITISH AMERICAN TOBACCO (GERMANY) GMBH,Company,Germany,"FRANKE DIETMAR, SCHMEKEL GERALD, PLUECKHAHN FRANK",Germany,Shaping and dimensioning plant material,Extraction,Tea stem,-,Y,, 28/09/2012,
25,2038/MUM/2008,283145,24-09-2008,A COMPOSITION FOR MAKING JALJEERA AND A PROCESS THEREOF,MOHAN DEWAN,Individual,India,MOHAN DEWAN,India,Production,Extraction,"Moringa Oleifera,  cinnamon",-,N, 05/05/2017,30/07/2010,
26,2963/CHENP/2010,282721,19-05-2010,METHOD OF PRODUCING ALCOHOL IN THE BIOREFINERY CONTEXT,IFP,Research organization,France,"MONOT FREDERIC, MARGEOT ANTOINE",France,Production," Hydrolysis, enzymatic hydrolysis, purification,  fermentation ", sugar plan,_,Y,24/04/2017,40523,
27,3256/MUM/2010,282486,29-11-2010,BIOTRANSFORMATION OF BIOLOGICALLY ACTIVE COMPOUNDS FROM MEDICINAL PLANTS,MYKO TECH PRIVATE LIMITED,Company,India,"SESHAGIRI RAGHUKUMAR, SRINIVASAN NARASIMHAN",India,Biotransformation,Extraction,"Boerhavia diffusa, boswellia serrata, gymnema sylvestre, momordica charantia","Anti-oxidant, anti-inflammatory and anti-diabetic activities.",Y, 12/04/2017 ,28/06/2013,
28,2656/MUM/2011,282473,20-09-2011,A PROCESS FOR THE PREPARATION OF POLYHERBAL FORMULATION EFFECTIVE TO TREAT KIDNEY STONES,KHOBRAGADE CHANDRAHASYA NAMDEO,Individual,India,"KHOBRAGADE CHANDRAHASYA NAMDEO, DR. SHIRFULE AMOL LAXMAN",India,Herbal composition,polyherbal formulation,"Tribulus terrestris L,Hygrophila spinosa L, Ricinnus communis L, Celosia argentea L,Coleus blumei Benth, Paederia foetida L- Bryophyllum pinnatum, Amaranthus spinosus L",Kidney stones treatment,N,,18/11/2011,
29, 1301/DELNP/2010,282162,24-02-2010,"POLYNUCLEOTIDES, POLYPEPTIDES ENCODED THEREBY, AND METHODS OF USING SAME FOR INCREASING ABIOTIC STRESS TOLERANCE AND/OR BIOMASS AND/OR YIELD IN PLANTS EXPRESSING SAME",EVOGENE LTD.,Company,Israel,"GANG MICHAEL, DIMAT DOTAN, RONEN GIL, KARCHI HAGAI, DIBER ALEX, VINOCUR BASIA JUDITH, AYAL SHARON, EMMANUEL EYAL",Israel,Increasing tolerance ," Expressing, encoding",-,-,Y,31/03/2017 ,13/08/2010,
33, 1665/MUM/2009,280682,17-07-2009,A process for preparation of a lotion for treatment of corn,"Nigam Rupa Shashikant, Prasad Varunesh Rameshwar",Individual,India,"Nigam Rupa Shashikant, Prasad Varunesh Rameshwar",India,Lotion,Extraction," Caesalpinia plant,  Rosa plant",-,N,27/02/2017,40216,
34,6234/DELNP/2009,280488,29-09-2009,METHOD FOR SELECTIVELY CONTROLLING WEEDS IN THE VICINITY OF A BRASSICA AND METHOD FOR TREATING SEED OF A BRASSICA,"VITERRA INC., BASF SE",Company,canada and germany,"KENING YAO, DEREK POTTS, DARYL MALES",Canada,Production of transgenic or non-transgenic plants ,Genetically modification,"Brassica plant, B. juncea, B. napus, B. rapa, B. carinata, B. oleracea, and B. nigra",-,Y, 21/02/2017,21/05/2010,
35,4287/DELNP/2009,279521,29-06-2009,DIFFERENTIAL EXPRESSION OF SUBGENOME SPECIFIC ALLELES IN COTTON AND USES THEREOF,BAYER CROPSCIENCE NV,Company ,Belgium,"ANTONIO ARIOLI, STEVEN ENGELEN","Belgium, australia",Genetically modification,Gene introduction,Cotton,-,Y,24/01/2017, 02/04/2010,
36, 273/MUM/2007,279313,02-12-2007,A herbal therapeutic product for the prevention and treatment of retention of placenta in cattle and buffaloes,HARSHADBHAI PATEL,Individual,India,HARSHADBHAI PATEL,India,Herbal composition,Extraction,"Achyranthes aspera, terminalia chebula .or tinospara cordifolia",Retained placenta in cattle and buffaloes ,N, 18/01/2017 , 08/05/2009,
37,7365/DELNP/2009,278887,13-11-2009,"""NOVEL GENES ENCODING INSECTICIDAL PROTEINS",BAYER CROPSCIENCE NV,Company,Belgium,"GOSSELE VERONIQUE, MEULEWAETER FRANK, SAEY BERNADETTE, JANSENS STEFAN",Belgium,Finding novel genes incoding insecticidal proteins,Genetic engineering,-,-,Y, 03/01/2017,40216,
38, 1191/DELNP/2009,278748,19-02-2009,PLANT TRANSFORMATION WITHOUT SELECTION,MONSANTO TECHNOLOGY LLC,Company,U.S.A.,ROUT JYOTI R.,U.S.A,TRANSFORMATION,Plant cell culture,Corn ,-,Y, 29/12/2016,20/08/2010,
39,8331/DELNP/2007,278680,29-10-2007,PRODUCTION OF GLUCOSAMINE FROM PLANT SPECIES,NESTEC S.A,Company,Switzerland,"COURTOIS, DIDIER, MICHAUX, STEPHANE, GOULOIS ERIC",Switzerland,Production,Extraction,-,-,Y,28/12/2016 , 04/07/2008,
41,6696/DELNP/2009,278328,20-10-2009,PLANT-FIBER-MATERIAL TRANSFORMATION METHOD,TOYOTA JIDOSHA KABUSHIKI KAISHA,Individual,Japan,"TAKESHIMA SHINICHI, KOYAMA AKIO",Japan,TRANSFORMATION,"Hydrolysis, precipitation",-,-,Y,20/12/2016 ,40488,
43, 272/MUM/2007,277700,02-12-2007,"A herbal composition for the prevention and treatment of endoparasites or tapeworm infestation in animals,",HARSHADBHAI PATEL,Individual,India,HARSHADBHAI PATEL,India,Herbal composition,Extraction,"Caesalpinia cristia, Wrightia tintoria, Aloe barbadensis and Vernonia anthelmintica",Prevention and treatment of endoparasites,N,29/11/2016,27/03/2009,
44,338/CHENP/2011,277360,17-01-2011,A METHOD OF PRODUCING A GENETICALLY MODIFIED PLANT CAPABLE OF BIOSYNTHESIZING CAPSINOID,"AJINOMOTO CO., INC.",Company,Japan,"LANG YAQIN, SUGIYAMA RYUJI, MIWA TETSUYA, KISAKA HIROAKI",Japan,Genetically modification,Suppressing expression,Wlid strain of genus capsicum,-,Y,18/11/2016, 11/11/2011,
45,4160/CHENP/2009,275063,15-07-2009,METHOD FOR HAVING INCREASED YIELD OF SEEDS IN PLANT,JAPAN SCIENCE AND TECHNOLOGY AGENCY,Research organization,Japan,"AYA IWASAKI, KENICHI OGAWA",Japan,Production,Gene introduction,-,-,Y, 22/08/2016, 07/08/2009,
46, 4828/CHENP/2009,275016,17-08-2009,METHOD FOR INCREASING SEED SIZE OR WATER STRESS RESISTANCE OF PLANT BY CYTOCHROME P450 GENE,MYONGJI UNIVERSITY INDUSTRY AND ACADEMIA COOPERATION,Research organization,Republic of Korea,"KIM  Ho Bang, CHOI&nbsp; Sang Bong",Republic of Korea,Genetically modification,Gene introduction,Arabidopsis thaliana,-,Y, 18/08/2016 ,40488,
48,4056/DELNP/2009,273671,19-06-2009,CONDITIONING BIOMASS FOR MICROBIAL GROWTH,"DANISCO US, INC.,GENENCOR DIVISION",Company,U.S.A.,"LAND GEORGE, BODIE ELIZABETH A",U.S.A,Production,Extraction, Corn and sugar cane,-,Y, 22/06/2016 , 09/04/2010,
49,1148/DEL/2011,273128,19-04-2011,INTEGRATED BIO-PRODUCT PRODUCTION FACILITY AND METHODS RELATED THERETO,BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,Research organization,U.S.A,"BALAN VENKATESH, CHUNDAWAT SHISHIR, LAU MING WOEI, DALE BRUCE",U.S.A,Ammonia-pretreated plant biomass ,Stimulation and synthesis,-,-,Y,,27/07/2012,
50,142/KOLNP/2007,273096,01-11-2007,METHODS FOR OBTAINING PACLITAXEL FROM TAXUS PLANTS,INDENA S.P.A.,Company,Italy,"GABETTA BRUNO, ZINI GIANFRANCO",italy,Extraction, Column chromatography separation ,TAXUS,-,Y, 18/05/2016,29/06/2007,
51,6759/CHENP/2009,272942,17-11-2009,A METHOD OF PRODUCING MAMMALIAN-TYPE GLYCOSYLATION IN PLANTS,STICHTING DIENST LANDBOUWKUNDIG ONDERZOEK,Research organization,Netherlands,"ROUWENDAL GERARD JOHAN ADOLPH, FLORACK DIONISIUS ELISABETH ANTONIUS, BOSCH HENDRIK JAN",Netherlands,Transformed plants,Genetically modification,-,-,Y, 04/05/2016,40301,
52,8424/DELNP/2010,272592,26-11-2010,METHOD FOR GLYCOSYLATING AND SEPARATING PLANT FIBER MATERIAL,TOYOTA JIDOSHA KABUSHIKI KAISHA,Individual,Japan,"TAKESHIMA SHINICHI, KIKUCHI TAKESHI ",Japan,Glycosylation and seperation,Hydrolysis process ,-,-,Y,42708,40942,
53,1820/MUMNP/2009,272056,10-01-2009, A PROCESS FOR PREPARING AN EXTRACT OF TRIGONELLA FOENUMGRAECUM,V-BIOTEK HOLDING APS,Company,Denmark,"Olsen, Jens steen",Denmark,Extraction, Heating and  recovering,Trigonella foenum-graecum,Prevention of an inflammatory disease ,Y, 16/03/2016, 14/05/2010,
55,2023/MUMNP/2009,271922,29-10-2009,SALICORNIA SPP.-DERIVED SALT AND ITS PRODUCTION PROCESS,PHYTOCO CORPORATION,Company ,Republic of Korea,"KIM  Deuk Hoi, KIM&nbsp; Tae Hyun",Republic of Korea,Extraction,"Heating, centrifugation, ultra filteration",Salicornia species,-,Y, 10/03/2016 ,40488,
56, 205/DEL/2008,271008,25-01-2008,AN IMPROVED PROCESS FOR MAKING CHAMOIS LEATHERS,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,Research organization,India,"SAYEED SADULLA, SRIRAMULU HARI KRISHNAN, VICTOR JOHN SUNDAR, VENKATESWARAN HARIBABU, CHELLAPPA MURALIDHARAN",India,Production,Extraction,-,-,Y, 30/01/2016 , 23/04/2010,
57,2767/DELNP/2011,270832,15-04-2011,"METHOD FOR PRODUCING LACTIC ACID FROM PLANT-DERIVED RAW MATERIAL, AND LACTIC-ACID- PRODUCING BACTERIUM","MITSUI CHEMICALS, INC.",Company,Japan,"TAKASHI MORISHIGE, HITOSHI TAKAHASHI, MITSUFUMI WADA, DAISUKE MOCHIZUKI, DAISUKE MIYAZAWA, KATSUYUKI TAKAHASHI, TADASHI ARAKI",Japan,Lactic acid production ,Genetic recombination,-,,Y,, 23/03/2012,
58,2446/DEL/2008,270553,27-10-2008, A HOMEOPATHIC PREPARATION FOR ICNREASING IMMUNITY OF PLANTS,SWAMI PARMANAND JI,Individual,India,SWAMI PARMANAND JI,India,Production,Extraction,"Zingiber officinale, neem",-,N,30/12/2015, 07/05/2010,
59, 3259/MUM/2010,270502,29-11-2010,A PROCESS FOR THE PREPARATION OF ETHANOLIC EXTRACT FROM ALTERNANTHERA BETTZICHIANA,HUNDIWALE JOGENDRA CHANDRAKANT,Individual,India,"HUNDIWALE JOGENDRA CHANDRAKANT, N GANESH, KULKARNI MOHAN VINAYAK, SALUNKHE KISHOR SAHEBRAO, GAGRANI MANISH BANSILAL",India,"Physicochemical, phyto-chemical",Extraction,Aliernanthera bettzichiana,-,Y,28/12/2015, 04/02/2011,
61,5412/CHENP/2009,269867,14-09-2009,PREPARATION AND USE OF PLANT EMBRYO EXPLANTS FOR TRANSFORMATION,MONSANTO TECHNOLOGY LLC,Company ,U.S.A,"
CALABOTTA BETH JO,
DEPPERMANN KEVIN LEE,
DERSCH ERIK, 
HEISE  JERALD,
KOESTEL  ANGELA, 
LUDWIG CINDY, 
MARTINELL  BRIAN J
WILLIAMS EDWARD",U.S.A,genetic transformation,"Tissue preparation, storage, and transformation",-,-,Y,13/11/2015 ,40129,
62,1729/MUM/2010,269858,06-07-2010, A SYNERGISTIC INSECTICIDAL COMPOSITION,"CHETAN BALAR, ANIL NAKUM",Individual,India,"CHETAN BALAR, ANIL NAKUM",India,Composition,Extraction,Spilanthes Calava ,-,N, 12/11/2015,40337,
63,5750/CHENP/2009,269499,30-09-2009,METHOD FOR THE NEMATOCIDAL TREATMENT OF PLANTS USING EUGENOL AND LECITHINE(S) AND/OR DERIVATIVES THEREOF,XEDA INTERNATIONAL,Company ,France,SARDO ALBERTO,france,Nematocidal treatment ,Formation of a composition,-,-,Y,26/10/2015, 25/12/2009,
66,5212/KOLNP/2008,265328,22-12-2008,TREATMENT OF ERECTILE DYSFUNCTION AND LIBIDO ENHANCEMENT,CSIR,Research organization,South Africa,"KHOROMBI ERIC, MAHARAJ VINESH JAICHAND, FOUCHE GERDA",South Africa,Production,Extraction,Geraniaceae.,Treatment of erectile dysfunction or the enhancement,Y,19/02/2015,27/03/2009,
67,8243/DELNP/2009,264582,16-12-2009,A METHOD OF CHANGING THE FLOWER COLOR OF A ROSE TOWARD BLUE,SUNTARY HOLDING LIMITED ,Company ,Japan,"Yoshikazu Tanaka,
Yukihisa Katsumoto,
Yuko Fukui,
Masako Mizutani,
Noriko Nakamura,
Junichi Togam",Japan,Changing flower colour,Genetic recombination technique,"Viola x wittrockiana, anthocyanin methyltransferase, Antirrhinum majus, Torenia hybrida",-,Y,42186, 16/07/2010,
68,366/DELNP/2008,263214,14-01-2008,PET FOOD COMPOSITION,THE IAMS COMPANY,Company,U.S.A.,"TRIBELHORN, RONALD, EUGENE, SARANA, ROBERT, JOSEPH, NIEHOFF, RAYMOND, LOUIS, MASSIMINO, STEFAN, PATRIC",U.S.A.,Food composition,Extraction,-,-,Y, 14/10/2014, 08/02/2008,
70,3227/DELNP/2007,260592,30-04-2007,A METHOD OF OBTAINING SOYBEAN GERMPLASM,MONSANTO TECHNOLOGY LLC.,Company,U.S.A.,"WU KUNSHENG , MCLAIRD PAUL, BYRUM JOSEPH R., REITER ROBERT AND ERICKSON MARK",U.S.A.,-,Gene manipulation,Soybean,-,Y, 09/05/2014 ,31/08/2007,
71,1807/MUMNP/2009,258683,30-09-2009,A NOVEL COMPOSITION COMPRISING A PHARMACEUTICAL PROTEIN EXPRESSED IN A LETTUCE CHLOROPLAST,"UNIVERSITY OF CENTRAL FLORIDA RESEARCH FOUNDATION, INC.",Research organization,U.S.A.,DANIELL HENRY,U.S.A.,Transformed plants, Transformation,Lactuca sativa,-,Y,30/01/2014, 07/10/2011,
72,1322/MUM/2008,257071,24-06-2008,A PROCESS FOR THE PREPARATION OF XANTHOPHYLL COMPOSITION CONTAINING ESSENTIAL MACULAR PIGMENTS,OMNIACTIVE HEALTH TECHNOLOGIES LTD.,Company,India,"SHERENA P.A., SUNIL KUMAR T.K.",India,Production,Extraction,-,-,Y,30/08/2013, 01/01/2010,
73,9757/DELNP/2007,254672,17-12-2007,"PHARMACEUTICAL COMPOSITION COMPRISING AN EXTRACT OF PSEUDOLYSIMACHION LONGIFOLIUM AND THE CATALPOL DERIVATIVES ISOLATED THEREFROM HAVING ANTIINFLAMMATORY, ANTIALLERGIC AND ANTIASTHMATIC ACTIVITY",KOREA RSEARCH INSTIUTE OF BIOSCIENCE AND BIOTECHNOLOGY,Research organization,Republic of Korea,"QUAN GUI HUA, LEE HYEONG KYU, OH SEI RYANG, LEE SANG KU, KWON OK KYOUNG, JOUNG HYOUK, KIM MI JIN, PARK BO YOUNG, AHN KYUNG SEOP, KIM DOO YOUNG, LEE  JOONG KU",Republic of Korea,Pharmaceutical Composition,Extraction,Pseudolysimachion ,"Anti-inflammatory, antiallergic and anti-asthmatic",Y,41011, 25/01/2008,
74, 2083/MUM/2007,254661,19-10-2007,"A NOVEL FREE FLOWING SOLID COMPOSITION OF OILY, PUNGENT IRRITATING AND ODEROFEROUS SUBSTANCES AND PROCESS FOR THEIR PREPARATION",OMNIACTIVE HEALTH TECHNOLOGIES PVT LTD,Company ,India,"ABHIJIT BHATTACHARYA, JAYANT DESHPANDE",India,Production,Extraction,-,Body weight reduction.,Y, 03/12/2012, 22/05/2009,
76,851/MUMNP/2008,251794,28-04-2008,HERBAL COMPOSITION FOR INFLAMMATORY DISORDERS,PIRAMAL LIFE SCIENCES LIMITED,Company ,India,"CHAUHAN, VIJAY,
SUTHAR, ASHISH,
SAPRE, DHANANJAY 
BAL-TEMBE, SWATI 
GANGOPADHYAY, ASHOK KUMAR
KULKARNI-ALMEIDA, ASHA, 
PARIKH, SAPANA, HASIT",India,Herbal composition ,Extraction,"Sphaeranthus indicus., ",Treatment for an inflammatory disorder,Y, 03/04/2012,13/06/2008,
77,"1336/MUMNP/2007
",251780,09-05-2007,A METHOD OF PRODUCTION OF SWEETENER FROM STEVIA REBAUDIANA PLANT,"MORITA KAGAKU KOGYO CO., LTD.",Company , Japan,"KOMAL KOICHIRO, MORITA KOJI, MORITA TOYOSHIGE",Japan,Sweetner Production,Extraction, Stevia rebaudiana bertoni,-,Y,40943, 14/11/2008,
78,1430/CHENP/2008,250751,25-01-2012,THE CRUDE SOYBEAN OIL,"MONSANTO TECHNOLOGY, LLC",Company ,U.S.A,"DEHESH KATAYOON, BRINGE NEAL A, FILLATTI JOANNE J",U.S.A. ,Recombinant genetics,Gene manipulation,-,-,Y,25/01/2012, 28/11/2008,
79,2757/MUMNP/2008,249479,26-12-2008,"A BEVERAGE WITH ENHANCED MOUTHFEEL, COMPRISING NON-NUTRITIVE SWEETENER; WATER; ACIDULANT; FLAVOR; COCONUT MILK",THE CONCENTRATE MANUFACTURING COMPANY OF IRELAND,Company ,Bermuda,"
BELL  Zena, LEE&nbsp; Thomas, JOHNSON&nbsp; Winsome",u.s.a,Beverage,Extraction, Stevia ,-,Y, 21/10/2011,13/02/2009,
81, 436/KOL/2008,248596,03-05-2008, METHOD FOR OBTAINING NOVEL DIHYDROXY OXYBIS COMPOUNDS,"DEBIDAS GHOSH, DILIP KUMAR PANDA",Individual,India,"GHOSH DEBIDAS, BHAT BEENA, PANDA DILIP KUMAR",India,Production,Extraction,Eugenia Jambolana,Anti-diabetic/anti-hyperglycemic/anti-hyperlipidemic,N, 27/07/2011, 02/05/2008,
82,1411/DELNP/2007,248352,21-02-2007,A METHOD FOR THE PRODUCTION OF SOLUBLE SUGARS FROM A PLANT,POSTECH FOUNDATION,Company ,Republic of Korea,"BAE HYEUN-JONG, HWANG INHWAN, LABERGE SERGE, TURCOTTE GINETTE",Republic of Korea,Extraction," Obtaining homogenate, Incubating, Separating and purifying, ",-,-,Y,40701, 17/08/2007,
83,2680/CHENP/2007,247853,20-06-2007,SUGARCANE PLANTS WITH AN INCREASED STORAGE CARBOHYDRATE CONTENT,BAYER CROPSCIENCE AG,Company ,Germany,"KNUTH Karola, HELLWEGE Elke",Germany,Gene modification,Gene manipulation, Sugarcane ,-,Y,26/05/2011, 07/09/2007,
84,3818/KOLNP/2006,247808,18-12-2006,A COMPOSITION FOR TREATING AND PREVENTING SLEEP DISORDER,BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,Company ,China,"CHAN HASIAOCHANG, GOU YULIN, CHUNG YIU WA, ROWLANDS DEWI KENNETH",China,Composition,Extraction,Ampelopsis ,Prevent or cure sleep disorders,Y,40549, 22/06/2007,
85,2603/CHENP/2008,247408,26-05-2008, METHOD FOR PRODUCING A CYBRID PLANT OF THE GENUS LACTUCA,SAKATA SEED CORPORATION,Company ,Japan,"HORIUCHI, SHINGO, ",Japan,Production,Gene manipulation,Lactuca ,-,Y,40667, 06/03/2009,
86, 2756/CHE/2007,244681,26-11-2007,AN ANTICARCINOGENIC PREPARATION AND A PROCESS FOR THE MANUFACTURE THEREOF,KARPAGAM ARTS AND SCIENCE COLLEGE,Research organization,India,"
DR.J.M. SASIKUMAR",India,Anti-cancer,Extraction,Rhaphidophora pertusa,Anti carcinogenic,Y, 15/12/2010 , 02/04/2010,
87,2678/CHE/2007,243534,19-11-2007,HAIR DYE AND CONDITIONER,POTHANA SAROJ,Individual,India,POTHANA SAROJ,India,Hair dye,Extraction,"Lawsonia Inermus, Elipta alba, Ocimum sanctum, Ocimum Amarieanum, Azadarachta Indica, Hibuscus Rojasinensis, Centalla Ariatica, Emblica Officinals, Trigonella foenum -Graecum, Withania somnifera, Vetiveria Zizanoides, Curcuma zedoaria, Acacia sinvata, Sapindus Emerginatus.",-,N,22/10/2010, 21/03/2008,
