,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
10,2008-323281,2010-143862,19-12-2008,COMPOSITION CONTAINING PLANT EXTRACT,SUNSTAR INC,Company,Japan,"UEDA SEIKO,
MAEDA MARIKO,
TAKAICHI KANA",Japan,A plant extract for use as an external preparation for skin or oral administration composition," Obtained by using a solvent selected from water, ethanol and a water-ethanol mixture","Carum carvi, green oat, Rumex japonicus, Passiflora racemosa, Passiflora incarnate and Orthosiphon stamineus",Hair growth and cardiopathy prevention,Y,24.1.2014,1.7.2010,A61K  36/00; A61K  36/23; A61K  36/899; A61K  36/71; A61K  36/53; A61P  17/00; A61P  43/00; A61P  17/14; A61K   8/97 ; A61Q   7/00; A61K  36/18; A23L   1/30
11,2010-044419,2010-132699,03-01-2010,"UTILIZATION OF EXTRACTS FROM IRIS PLANTS, CIMICIFUGA RACEMOSA AND TECTORIGENIN AS AN ESTROGEN-LIKE ORGAN-SELECTIVE MEDICAMENT WITHOUT UTEROTROPIC EFFECTS",BIONORICA AG,Company,Germany,"WUTTKE WOLFGANG,
JARRY HUBERTUS,
CHRISTOFFEL VOLKER,
SPENGLER BARBARA,
POPP MICHAEL",-,"Use of plant extract as an estrogen-type organ-preferential medicament of preferential treatment and/or prevention of cardiovascular diseases, especially atherosclerosis, osteoporosis and climacteric disorder",Variety of herbal plants composition,Iris plants and Cimicifuga racemosa,Cardiovascular diseases,Y,-,17.6.2010,A61K  36/18; A61K  31/352; A61K  31/7048; A61P   9/00; A61P   9/10; A61P  19/10; A61P  15/12
12,2008-301933 ,2010-126474,27-11-2008,"ORAL ADMINISTRATION COMPOSITION USING EXTRACT OF PLANT OF GENUS HIBISCUS, FAMILY MALVACEAE",ITO EN LTD,Company,Japan,"KANOU HIDEKI,
TAKIHARA TAKANORI,
KUBOTA YUJI,
SUZUKI HIROKO,
MIYAMOTO SACHIKO,
BABA YOSHITAKE",Japan,Oral administration herbal composition which suppresses the blood sugar level and blood insulin concentration,The invention contains a fat-soluble component and/or a non-organic acid component in its extract with kenaf as an active component,Hibiscus sp.,Lowering of blood sugar,Y,-,10.6.2010,A61K  36/18; A61P   3/10; A23L   1/30; A23L   2/52
13,2008-290488,2010-116344,13-11-2008,ORAL MEDICINE CONTAINING PITH FIBER OF TREE AND PLANT AND HAVING FUNCTION OF REMOVING INTESTINAL WASTE AND FOOD,"OKINAWA SATOUKIBI KINO KENKYUSHO:KK
KOYO SANGYO CO LTD
OKUMOTO SEIFUN KK
GINREI SHOKUHIN KOGYO KK",Company,Japan,"TAKAMURA YOSHIO,
FUJIMOTO KENSHIRO",Japan,An orally administered drug or functional food which has a waste-removing function in intestines comprising dietary fiber of plant origin,The plant extracts undergo heat treatment before obtaining the final product ,Sugarcane,Constipation,Y,-,27.5.2010,A61K  36/899; A23L   1/30; A61K  36/00; A61P   1/00; A61P   1/10
14,2009-258660,2010-115196,11-12-2009,PLANT PROTEIN PRODUCT AND PRODUCTION METHOD THEREOF,ZEN-U BIOTECHNOLOGY CO LTD,Company,Taiwan,"CHIN SHISHO,
LU CHIH-YI,
CHEN FA YI",Taiwan,A plant protein product for fodder which is increased in digestibility after ingestion by an animal or by succeeding processing efficiencies in food processing,The raw material is converted into particulates smaller than the plant protein cell body by processing the raw material with single cell separation technology,"Rice, foxtail millet, corn, barley, wheat, oat, kelp, dried seaweed, wakame, green algae, spirulina, soybean, rapeseed",-,Y,26.2.2013,27.5.2010,C12P  21/00; C07K  14/415; A23K   1/16; A23K   1/165
15,2008-282609 ,2010-106000,31-10-2008,METHOD FOR PRODUCING PLANT EXTRACT AND COSMETIC,KYOEI KAGAKU KOGYO KK,Company,Japan,"OGURA MASAKI,
SAWAKI SHIGERU,
SAWAKI SHIGETOYO",Japan,Method for producing an extract of plant leaves of the Rutaceae family having an excellent tyrosinase activity inhibition with preventive and symptom improving effect on skin pigmentation,The process involves treatment with activated carbon to obtain an extract stripped of adsorbable constituents and its formulation into a cosmetic,Rutaceae family,-,Y,30.3.2012,13.5.2010,A61K   8/97; A61Q  19/00; A61Q  19/02; A61Q   1/12; A61Q  19/10
16,2008-246865,2010-077065,25-09-2008,COMPOSITION FOR ORAL ADMINISTRATION CONTAINING PLANT OF GENUS SALACIA,FUJIFILM CORP,Company,Japan,"SERIZAWA YURIKO,
UEDA FUMINORI",Japan,Oral composition containing plant extract which is a blood-flow improving agent,"Contains plant Salacia and policosanol, a cholesterol lowering agent, a cholesterol absorption inhibitor, a cholesterol production inhibitor, a blood flow ameliorating agent and a blood coagulation inhibitor respectively",Salacia sp.,-,Y,27.12.2011,8.4.2010,A61K  36/18; A61K  31/045; A61K  31/352; A61P   3/06; A61P   7/00; A61P   7/02; A61P  43/00
17,2008-214052,2010-047530,22-08-2008,COSMETIC CONTAINING PLANT EXTRACT,INTORON:KK,Company,Japan,FURUKADO KOZO,Japan,Detoxifying plant extract cosmetic which synergistically increases the effect of active ingredients so as to excel in both safety and effectiveness,Selected based on the degree of enhancement of glutathione-S-transferase activity in skin cells as an index,"Coptis root, Scutellaria root, gardeniae fructus, rape blossom, broccoli, cabbage, Japanese radish, cress, apple, papaya, kiwi, carrot, beefsteak plant, mandarin orange, yuzu citron, cucumber, lettuce, soybean, vine oleaster, or sealwort",-,Y,22.11.2011,4.3.2010,A61K   8/97; A61Q  19/00; A61Q  19/10; A61Q   1/14; A61K  36/71; A61K  36/75; A61K  36/53; A61K  36/18; A61P  39/02; A61P  43/00
18,2008-209380,2010-043035,15-08-2008,ORAL ADMINISTRATION COMPOSITION CONTAINING PLANT OF GENUS SALACIA,FUJIFILM CORP,Company,Japan,HONMA TOSHIYUKI,Japan,Stable oral administration composition which contains an extract of a plant of genus Salacia and does not undergo hue change even after long-term storage,Dosage dependent composition,Salacia sp.,-,Y,22.11.2011,25.2.2010,A61K  36/18; A61P   3/10; A61P  19/02; A61P  15/00; A61P  17/00; A23L   1/30
19,2009-247134,2010-018637,27-10-2009,METHOD FOR TREATING DISORDER USING PLANT EXTRACT,RUTGERS THE STATE UNIV OF NEW JERSEY,Research Organisation,USA,"RIBNICKY DAVID M,
RASKIN ILYA",-,"Method for treating diabetes using plant extracts which are non-toxic and non-mutagenic with a beneficial effect on blood glucose level, wherein the plant is easily grown with a minimum of time, labor and cost",Mildly polar fluid extracts of plant species are used such as Artemisia plant species,Artemisia sp.,Diabetes,Y,22.8.2012,28.1.2010,A61K  36/28; A61P   3/04; A61P   3/10; A61P  43/00; A61P   3/02; A61P  21/00
20,2009-150531,2010-013445,25-06-2009,METHOD FOR PRODUCING PLANT-BASED MEDICAMENT,STEIGERWALD ARZNEIMITTELWERK GMBH,Company,Germany,"WILLI KUPER,
BECKER WULF
",-,Incorporation of alcoholic extracts of various plant materials in the production of a plant-based medicament,Dosage dependent composition,"Iberis amara, Menthae piperitae folium, Matricariae flos, Carvi fructus, Melissae folium, Angelicae radix, Liquiritiae radix, Cardui mariae fructus and Chelidoni herba",Gastro-intestinal ailments,Y,12.10.2012,21.1.2010,A61K  36/00; A61K  31/7048; A61K  31/575; A61P   1/04; A61P  29/00; A61P  39/06; A61P   1/00; C07H  17/07; C07J   9/00
21,2010-117785,2011 - 236393,30-04-2010,Herb brown sugar soap ,Haranaka mieko ,Individual,-,Haranaka mieko ,-,Composition of the raw material,Soap,"Rose,Aloe vera,palm ",-,Y,-,24.11.2011,"C11D   9/38 ,C11D   9/26,C11D   9/02,A61K   8/97,A61Q  19/10,A61K   8/60   "
22,2010-108723,2011 - 225505,16-04-2010,Chinese herb/crude drug product with pruni coritex for skin disease treatment ,Kurose  Jun,Individual,-,"Takemura tsukasa ,Yomoda  Satoshi ,Toono  Hiromi ,Horii  Shufu ,Okonogi  AKIRA",-,Stable and optimum effect., Hard capsules or soft capsules,"Pruni cortex  ,sakuranetin, naringenin and genistein",Skin diseases,Y,-,10.11.2011,"A61K  36/73,A61K  31/353,A61K  31/7048,A61P  17/00 "
23,2010-001227,2011 - 140453,01-06-2010,Method for producing dried product of fermented medicinal herb and fermented medicinal herb powder ,Karatsu  TADATOSHI,Individual,-,Karatsu  Tadatoshi ,-,Composition of the raw material,Powder,"Dandelion and ginkgo,mugwort, dandelion, Menamoni, Ampelopsis, aloe, Mallotus japonicus, bitter melon,",Obesity.,N,-,21.07.2011,"A61K  36/28 ,A61K  36/00,A61K  35/74,A61K  36/06,A61P   3/04"
24,2009-297589,2011 - 136939,28-12-2009,"Herbal medicine containing tablet, and method for producing herbal medicine carrying particle used for herbal medicine containing tablet ",Lion Corp ,Company,-,"Matsumoto naoko ,Kizu  NORIO,Ishikawa SATOYUKI",-,Improved herbal medicinal taste, Orally disintegrating tablets or chewable tablets. ,"Allotus japonicus, Corydalis, bark, Coptis, valerian, guarana, licorice, Campanulaceae, cinnamon, gentian, cranesbill, magnolia bark, peony root, ginger, senega, senna, sōjutsu, angelica, carrots",-,Y,-,14.07.2011,"A61K  47/32,A61K   9/20,A61P  43/00,A61K  36/71  "
25,2010-166498,2011 - 042649,23-07-2010,Pharmaceutical composition containing chinese herbal extract ,Rohto Pharmaceutical  CO LTD,Company,-,"Matsumoto  eri,Nakata  Atusuko ",-,Improved in the action of improving enteral environment,Extraction of the composition,"Bofudori Kiyoshichi, Yutakakeiyu,Shoseiryuto","Allergic rhinitis, allergic conjunctivitis, bronchial asthma, pollinosis",Y,-,03.03.2011,"A61K  36/00,A61P   1/04,A61P   1/00,A61P   1/14,A61K  33/00   "
26,2009-193132,2011 - 041544,24-08-2009,Method for producing aronia herb juice ,"Kinshihai shuzo kk ,ARM IZUMI:KK",Individual,-,Hiroi Tadao ,-,Composition of the raw material,Juice,Aronia ,Asthenopia,Y,-,03.03.2011,A23L 2/02 
27,2011-174030,2011-241225,08-09-2011,Method for preparing polyamine composition from plant ,Toyobo  CO LTD,Company ,-,"Kasukabe yoshihisa ,sogabe atsushi ",-,"High safeness and have wide uses in cosmetics ,health care products ",Extraction of the compound ,"Soybean , soybean germ , wheat , wheat germ,ucurbits, solanaceous plants, grasses, crucifers, legumes, Malvaceae plants, Asteraceae, Chenopodiaceae,sweet potato, tomato, cucumber, pumpkin, melon, watermelon, tobacco, Arabidopsis thaliana, bell peppers, eggplant, beans, taro, spinach, carrots, strawberries, potatoes, rice, corn, alfalfa, wheat, barley, soybeans, rapeseed, sorghum, eucalyptus, poplar, kenaf, Eucommia, sugar cane, sugar beet, cassava, sago palm, goosefoot, lilies, orchids, carnations, roses, chrysanthemums, petunia, Torenia, snapdragon, cyclamen, gypsophila, geranium, sunflower, grass, cotton, Flammulina velutipes, hon-shimeji mushroom , matsutake mushrooms, shiitake, mushrooms, ginseng, Agaricus, turmeric, Panax ginseng, citrus fruits, green tea, black tea, oolong tea, bananas, kiwi, natto",-,Y,-,01.12.2011,"C07C 209/82,C07C 211/09 ,A61K  36/48 ,   A61K  36/00     ,A61K   8/41  , A61Q  19/00, A61K  31/132 , A61P  43/00  , A61P  39/06  , A61P  37/08"
28,2011-174029,2011-239786,08-09-2011,Method for preparing polyamine composition from plant ,Toyobo  CO LTD,Company ,-,"Kasukabe yoshihisa ,sogabe atsushi ",-,"High safeness and have wide uses in cosmetics ,health care products ",Extraction of the compound ,"Wheat , wheat germ,ucurbits, solanaceous plants, grasses, crucifers, legumes, Malvaceae plants, Asteraceae, Chenopodiaceae,sweet potato, tomato, cucumber, pumpkin, melon, watermelon, tobacco, Arabidopsis thaliana, bell peppers, eggplant, beans, taro, spinach, carrots, strawberries, potatoes, rice, corn, alfalfa, wheat, barley, soybeans, rapeseed, sorghum, eucalyptus, poplar, kenaf, Eucommia, sugar cane, sugar beet, cassava, sago palm, goosefoot, lilies, orchids, carnations, roses, chrysanthemums, petunia, Torenia, snapdragon, cyclamen, gypsophila, geranium, sunflower, grass, cotton, Flammulina velutipes, hon-shimeji mushroom , matsutake mushrooms, shiitake, mushrooms, ginseng, Agaricus, turmeric, Panax ginseng, citrus fruits, green tea, black tea, oolong tea, bananas, kiwi, natto,soybean , soybean germ ",-,Y,-,01.12.2011,"A23L   1/30  ,C07C 209/86   ,C07C 211/11   C07C 211/13   ,C07C 211/14  ,A61K  36/48   ,A61K  36/00,A61K  31/132 ,A61K   8/41 ,A61P  37/08    ,A61P  43/00 "
29,2011-189355,2011-236443,31-08-2011,Plant based resin containing composition and plant based resin containing molded body using the same ,Fujitsu  LTD,Company ,-,"Ishizuka masanobu ,ido yukio,kimura koichi,nakamura takamistu ,fujiwara takayuki",-,Less impact on the environment and high resin properties,Extraction of the compound ,"Vegetable, castor",-,Y,-,24.11.2011,"C08L  77/02  ,C08K   3/36 ,C08K   3/34   ,C08L   1/00  ,C08K   7/02    ,C08K   7/14  ,C08L  81/02 "
30,2011-084885,2011-236410,04-06-2011,"Plant based resin pellet,Method for producing the same,and injection molding machine by using the plant based resin material ","Sankyo kasei  KK
Miyasaka mokuzai sangyo  KK
Idmenitsu kosan CO LTD",Company ,-,"Kusurio yoshimi,kubota tetsuji,miyasaka yuko ",-,"Excellent in moldability, can give a good appearance",Pellets, Natural wood,-,Y,-,24.11.2011,"C08L  97/02  ,C08J   3/12  ,B29C  45/34  ,B29B   9/12 ,C08L  91/00   B29K   1/00  ,B29K  23/00"
31,2010-085555,2011-213689,04-01-2010,"Aqueous solution containing plannt component,frozen body containing plant component,and apparatus for producing aqueous solution containing plant component.",Miike iron works  CO LTD,Company ,-,"Kobayashi yoshikazu,kobayashi hidemasa,kojima shinichiro,ishii etsuo ",-,Influences a human body little and sufficiently exerts bactericidal and antibacterial effects,Aqueous solution,"Bambusoideae, Kumazasa, ",Rough skin ,Y,-,27.10.2011,"A01N  59/00 ,A01P   3/00,A01N  65/44     
"
32,2010-090847,2011-201845,25-03-2010,Antimicrobial composition by extraction of plant with glacial acetic acid ,Udagawa shinichi ,Individual,-,Udagawa shinichi ,-,"Simple and inexpensive production method, and having deodorant effects and aromaticity",Extraction,"Green tea, black tea, leaf tea of Japan cedar, leaf tea of pine,"," Sufficient antimicrobial effects to viruses, bacteria, fungi (eumycetes)",N,-,13.10.2011,"A01N  65/00,A01N  65/08,A01N  25/04,A01N  25/00,A01N  37/36,A01P   3/00"
33,2011-103776,2011-193877,05-06-2011,"Method of fermentation and cultivation,fermented plant extract,fermented plant extract powder,and composition containing the extract of fermented plant ","Soma  GENICHIRO
BIO MEDICAL RESEARCH GROUP:KK",Research organisation,-,"Soma genichiro ,kawachi chie,inagawa hiroyuki,nishizawa takashi ,takahashi yukinor ",-,"Not contaminated with impurities derived from animal components, and thus these are highly safe.",Powder,Wheat flour," Diseases of the human and mouse (diabetes, hyperlipidemia, atopic dermatitis, cancer) that have a protective effect such as fish and crustaceans, are effective to prevent infection of avian",Y,-,06.10.2011,"C12N   1/20,A23L   1/30,A61K  35/74,A61K  36/02,A61K  36/48,A61K  36/899,A61P  37/04,A61P  43/00,A61K   8/97,A61K   8/99,A61P  29/00,A61P  37/08,A61P  35/04,A61P  31/04,A23K   1/00,A23K   1/14,A23K   1/16"
34,2010-049162,2011-182672,03-05-2010,"Method for producing folic acid-containing edible plant,folic acid-containing sprout ",National agricultural & food research organization ,Research organisation,-,"Endo chie, yamauchi hiroaki,takigawa shigenobu ,suzuki tatsuro ,noda takahiro, hashimoto naoto, yokota satoshi ",-,Edible plant containing folic acid in high concentration,Composition of folic acid compound," Sprout Kaiwaredaikon,cabbage, broccoli, mizuna, watercress, arugula, radish sprouts, common buckwheat, Dattan buckwheat, spring onion, leek, perilla, mint, basil, spinach , alfalfa",-,Y,-,22.09.2011,"A01G  31/00 ,A01G   9/00 "
35,2011-116830,2011-168616,25-05-2011,"Process for production of plant skin-whitening agent,plant skin-whitening agent and skin external preparation for skin whitening ",Shiseido  CO LTD,Company ,-,"Kusakari takeshi,naito tomoko,maeda kazuhisa ",-,Exhibiting excellent hypochromic and whitening effects,"dosage forms, such as ointments, creams, milks, lotions, packs, bath agents, etc","Thuja, Rubus, Vaccinium, Actinidia and Perilla","Pigmentation after sunburn, flecks, freckles and chloasma",Y,-,01.09.2011,"A61K   8/97,A61Q  19/02,A61Q  19/00,A61Q   1/02"
36,2010-024660,2011-162457,02-05-2010,"Plant fermentation extract,method for producing the same and cosmetic ",Maruzen pharmaceut  CO LTD,Company ,-,"Aoyama tomonori,kuwabara hiromoto,hayashi taeko ",-,"Low cost, hardly emits any uneasy fermentation odor and is excellent in moisture retention",Fermented extract,"carrots, peony, althea root, bark, button bark, Cortex Mori, lily bulb, gentian, asiasarum , ginger, iris, Sinensis, angelica, Himalayan raspberry, the person, apricot kernel, gymnastics, chamomile, toe calendula, cornflower, malva sylvestris, shiitake mushrooms, pears, sour cherries, oranges, quince, red grapes, pine, apple, bananas, corn, Coix, potato, Kuzune, bracken, tapioca, and the like, black glutinous rice"," Wrinkles, aging symptoms such as dullness.",Y,-,25.08.2011,"A61K   8/97,A61Q  19/00,C12P   7/56 ,C12P   1/02 ,A61K   8/99 ,C12R   1/645"
37,2010-039347,2011-160780,02-05-2010,Lignin decomposition and saccharification method for presistent lignin-containing plant pulverized fine powder ,Iwatsuki sunao ,Individual,-,"Iwatsuki sunao,kotani hajime,negoro minoru ",-,"Low cost,environmentally friendly, and, the hardly decomposable",Powder,"Rice straw, rice hulls, sawdust, thinnings wood",-,Y,-,25.08.2011,"C12P  19/14,C12P   7/04 ,C12P   7/06 "
38,2010-285715,2011-148783,22-12-2010,"3, 5-Dihydroxy--2-Menthenyl stilbene ,plant extract containing the same,and method for collecting the extract,and apllication of the extract ","Lion corp  ,Nippon tablet  KK",Company,-,"Morishima seiji,kazuno keiko,hirayama tomoko,igarashi akinori ,hisanaga akimoto,oishi masayoshi ,tomo masayuki",-,"Offensive odor production inhibitors,used in cosmetics ",Oral composition like mouthwash, Lindera,Dental plaque,Y,-,04.08.2011,"C07C  39/21,A61K  31/05 ,A61K  36/18,A61K  36/00 ,A61P  31/04,A61K   8/34,A61Q  11/00,A61Q   5/00 ,A61Q  19/10,A61P  17/00,A61P   1/02 ,A61P  17/10     
C11D   3/48,A23L   3/349  ,A23L   1/015 ,C07C  39/23,A61K   8/97,A61Q  15/00,C09B  61/00 "
39,2010-010508,2011-148724,20-01-2010,"Plant material saccharified product,brewed product and method for producing these products ","Hirosaki  UNIV
Aomori prefectural Industrial Technology Research Center",Research organisation,-,"Kato yoji,takahashi tadashi,ichida junji ",-,Composition of the raw material,Brewed product,"Corn , potato , the sweet potato , saccharified starch  such as tapioca",-,Y,-,04.08.2011,C07G  99/00
40,2010-001551,2011-140552,01-06-2010,Aqueous emulsion composition of hardebed oil derived from animal and plant ,Nippon serio  CO LTD,Company ,-,"Nagahashi tatsu,kondo hideaki,ando tetsuaki,kawakami sotaro ",-,Can maintain a stable emulsified state over a long period of time under natural environment.,Oil,Yokozeki Yushi,-,Y,-,21.07.2011,"C08L  91/00 ,B01F  17/42 ,C08L  91/06  ,C08L  71/02  ,A61K   8/06  ,A61K   8/31   ,A61K   8/39  ,A61K   8/92"
41,2009-145695,2011-000055,18-06-2009,"Composition for lasting feeling of fullness,containing insoluble dietary fiber derived from grain plant seed ",Kirin  HOLDINGS CO LTD,Company ,-,"Kaneuchi osamu ,komiyama hiroshi,kusano kaori ",-,To provide a safe and new material that lasts feeling of fullness after ingestion,Food and beverage,Grain plant,-,Y,-,06.01.2011,"A23L   1/308,A23L   2/52,A61K  36/899,A61P   3/04    "
42,2009-162933,2011-016760,07-09-2009,"Skin care external preparartion,oral agent.mositurizing agent,antiaging agent,bleaching agent,and anti-oxidizing agent containing bulb of lilium plant and/or callus extract as effective ingredient ",Noevir  CO LTD,Company ,-,"Tsukiyama munehisa,nakamura istumi,todaka rie ",-,Composition of the raw material,Oral agent, Lilium,Skin aging issues,Y,-,27.01.2011,"A61K   8/97   ,A61Q  19/00 ,A61Q  19/08 ,A61Q  19/02  ,A61K  36/896   ,A61P  17/00 ,A61P  17/16 ,A61P  17/18  ,A61P  39/06"
